function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
67;mg_mpi_f90_aocc;resid;;39.055068969727;3.7199983596802;0;0;0;0;0;39.055068969727;3.7199983596802;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";resid_;;;;;;;;;;
68;mg_mpi_f90_aocc;psinv;;14.803136825562;1.4099998474121;0;0;0;0;0;14.803136825562;1.4099998474121;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";psinv_;;;;;;;;;;
62;mg_mpi_f90_aocc;interp;;9.7637720108032;0.93000000715256;0;0;0;0;0;9.7637720108032;0.93000000715256;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";interp_;;;;;;;;;;
36;libfabric.so.1.28.0;fi_getinfo;;8.2414636611938;0.7849999666214;0;0;0;0;0;8.2414636611938;0.7849999666214;0;0;0;0;0;;"0,99.363057324841,0,0,0,0,0,0,0,0,0.63694267515924";fi_getinfo;;;;;;;;;;
69;mg_mpi_f90_aocc;rprj3;;6.2467141151428;0.59499996900558;0;0;0;0;0;6.2467141151428;0.59499996900558;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";rprj3_;;;;;;;;;;
993;libc.so.6;mmap_remap_check;;3.4120709896088;0.32499998807907;0;0;0;0;0;3.4120709896088;0.32499998807907;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";mmap_remap_check;;;;;;;;;;
1341;libc.so.6;__syscall_cancel_arch;;1.8897621631622;0.17999997735023;0;0;0;0;0;1.8897621631622;0.17999997735023;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__syscall_cancel_arch;;;;;;;;;;
65;mg_mpi_f90_aocc;give3;;1.6272953748703;0.15500001609325;0;0;0;0;0;1.6272953748703;0.15500001609325;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";give3_;;;;;;;;;;
-1;kernel;do_syscall_64;;1.1548547744751;0.11000000685453;0;0;0;0;0;1.1548547744751;0.11000000685453;0;0;0;0;0;;"0,95.454545454545,0,0,0,4.5454545454545,0,0,0,0,0";do_syscall_64;;;;;;;;;;
1967;libmpi.so.40.40.7;ompi_mtl_psm2_register_pvars;;1.1548547744751;0.11000000685453;0;0;0;0;0;1.1548547744751;0.11000000685453;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";ompi_mtl_psm2_register_pvars;;;;;;;;;;
-1;kernel;module_get_kallsym;;0.99737459421158;0.094999998807907;0;0;0;0;0;0.99737459421158;0.094999998807907;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";module_get_kallsym;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irqrestore;;0.94488108158112;0.089999988675117;0;0;0;0;0;0.94488108158112;0.089999988675117;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;;;;;;;;;;
82;mg_mpi_f90_aocc;vranlc;;0.73490756750107;0.070000000298023;0;0;0;0;0;0.73490756750107;0.070000000298023;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";vranlc_;;;;;;;;;;
64;mg_mpi_f90_aocc;take3;;0.62992078065872;0.060000002384186;0;0;0;0;0;0.62992078065872;0.060000002384186;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";take3_;;;;;;;;;;
52;mg_mpi_f90_aocc;norm2u3;;0.62992078065872;0.060000002384186;0;0;0;0;0;0.62992078065872;0.060000002384186;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";norm2u3_;;;;;;;;;;
987;libc.so.6;_IO_peekc_locked;;0.57742738723755;0.055000003427267;0;0;0;0;0;0.57742738723755;0.055000003427267;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0,0";_IO_peekc_locked;;;;;;;;;;
73;mg_mpi_f90_aocc;zran3;;0.52493399381638;0.050000000745058;0;0;0;0;0;0.52493399381638;0.050000000745058;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";zran3_;;;;;;;;;;
-1;kernel;vsnprintf;;0.47244054079056;0.044999994337559;0;0;0;0;0;0.47244054079056;0.044999994337559;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";vsnprintf;;;;;;;;;;
1109;libc.so.6;__internal_syscall_cancel;;0.36745378375053;0.035000000149012;0;0;0;0;0;0.36745378375053;0.035000000149012;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__internal_syscall_cancel;;;;;;;;;;
-1;kernel;clear_page_erms;;0.26246699690819;0.025000000372529;0;0;0;0;0;0.26246699690819;0.025000000372529;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";clear_page_erms;;;;;;;;;;
-1;kernel;_copy_to_iter;;0.26246699690819;0.025000000372529;0;0;0;0;0;0.26246699690819;0.025000000372529;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";_copy_to_iter;;;;;;;;;;
