group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc22,0x40bc4c,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc60,0x40bc76,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc8c,0x40bca0,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bbf9,0x40bc2f,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc67,0x40bc7e,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc45,0x40bc6e,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bbb0,0x40bbe3,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bcae,0x40bcd2,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bbc6,0x40bc00,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bbb7,0x40bbeb,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bce6,0x40bced,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bbdc,0x40bc08,;Success;128;Success;128;128;0;128;128;1;
4;LLLL;MOV,MOV,MOV,CMP,;376,368,352,360,;0x40bbbe,0x40bc37,0x40bcbe,0x40bd18,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;0,;0x40bd0d,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x40bc99,0x40bcb6,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VMOVUPD,;0,64,;0x40bbcd,0x40bbd4,;Success;128;Success;128;128;0;128;128;2;
