Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;790000000;9.7750062942505;845307;0;2955000000;54964986496;947;0;10000000;0;998869;77635085312;958;15527.0170624;0;11.022130966187;15670000000;5000000;3235000000;5000000;
cycles;fedora;_ALL;_ALL;0;790000000;9.7750062942505;845307;0;2955000000;54964986496;947;0;10000000;0;998869;77635085312;958;15527.0170624;0;11.022130966187;15670000000;5000000;3235000000;5000000;
cycles;fedora;20978;_ALL;0;790000000;9.7750062942505;845307;0;2955000000;54964986496;947;0;10000000;0;998869;77635085312;958;15527.0170624;0;11.022130966187;15670000000;5000000;3235000000;5000000;
cycles;fedora;20978;20998;5.0810017585754;75000000;9.6950168609619;972406;0;365000000;6829998592;947;0;0;5.0354924201965;994198;9695016960;958;1939.003392;0;11.02179145813;2005000000;5000000;415000000;0;
cycles;fedora;20978;21002;9.2715654373169;115000000;9.6900100708008;974104;0;395000000;6784998784;947;0;0;9.2267074584961;993478;9690009600;958;1938.00192;0;11.019373893738;1995000000;0;400000000;0;
cycles;fedora;20978;20997;9.2738924026489;110000000;9.7000036239624;972090;0;370000000;6999997504;947;0;5000000;9.2282667160034;994221;9700003840;958;1940.000768;0;11.022130966187;1795000000;0;415000000;5000000;
cycles;fedora;20978;20999;5.0552749633789;115000000;9.6900291442871;972777;0;330000000;6959996928;947;0;0;5.0552749633789;993325;9690029056;958;1938.0058112;0;11.020548820496;1890000000;0;395000000;0;
cycles;fedora;20978;21001;9.3671503067017;115000000;9.7750062942505;973533;0;400000000;6694999168;947;0;0;8.3217096328735;993998;9775006720;958;1955.001344;0;11.020464897156;2150000000;0;415000000;0;
cycles;fedora;20978;21003;9.966890335083;95000000;9.6850023269653;974547;0;355000000;6924998592;947;0;5000000;9.2334928512573;994280;9685002240;958;1937.000448;0;11.019733428955;1885000000;0;420000000;0;
cycles;fedora;20978;21004;8.9420185089111;65000000;9.7000093460083;974981;0;390000000;6744997760;947;0;0;8.8968420028687;993160;9700008960;958;1940.001792;0;11.018177986145;2100000000;0;400000000;0;
cycles;fedora;20978;21000;9.2694473266602;100000000;9.700008392334;973114;0;350000000;7024999168;947;0;0;9.2281999588013;993908;9700007936;958;1940.0015872;0;11.020793914795;1850000000;0;375000000;0;
