Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;13.115016937256;327016;76734997120;1140000000;0;1747;0;0;0;677761;81115085824;1760;16223.0171648;1785000000;13.350744247437;0;0;1455000000;0;
cycles;fedora;_ALL;_ALL;0;0;13.115016937256;327016;76734997120;1140000000;0;1747;0;0;0;677761;81115085824;1760;16223.0171648;1785000000;13.350744247437;0;0;1455000000;0;
cycles;fedora;30950;_ALL;0;0;13.115016937256;327016;76734997120;1140000000;0;1747;0;0;0;677761;81115085824;1760;16223.0171648;1785000000;13.350744247437;0;0;1455000000;0;
cycles;fedora;30950;30975;12.707260131836;0;9.7150077819824;553875;9149998144;105000000;0;1747;0;0;8.9912157058716;677746;9715007488;1760;1943.0014976;305000000;13.123870849609;0;0;155000000;0;
cycles;fedora;30950;30976;12.707977294922;0;9.715012550354;553924;9179999936;65000000;0;1747;0;0;8.9916124343872;677745;9715012608;1760;1943.0025216;290000000;13.123821258545;0;0;180000000;0;
cycles;fedora;30950;30977;10.517335891724;0;9.7100143432617;553972;9165000320;160000000;0;1747;0;0;6.8014793395996;677745;9710014464;1760;1942.0028928;235000000;13.123773574829;0;0;150000000;0;
cycles;fedora;30950;30974;12.71010017395;0;9.7150096893311;553824;9170000320;90000000;0;1747;0;0;8.9941120147705;677747;9715009536;1760;1943.0019072;285000000;13.123922348022;0;0;170000000;0;
cycles;fedora;30950;30979;12.706310272217;0;9.7150068283081;554098;9379999488;95000000;0;1747;0;0;8.9902896881104;677748;9715006464;1760;1943.0012928;90000000;13.123649597168;0;0;150000000;0;
cycles;fedora;30950;30950;13.114525794983;0;13.115016937256;327016;12310000960;410000000;0;1747;0;0;13.114525794983;677761;13115017216;1760;2623.0034432;30000000;13.350744247437;0;0;365000000;0;
cycles;fedora;30950;30978;12.707551002502;0;9.715012550354;554038;9109998400;105000000;0;1747;0;0;8.991584777832;677745;9715012608;1760;1943.0025216;355000000;13.123706817627;0;0;145000000;0;
cycles;fedora;30950;30973;7.540979385376;0;9.7150058746338;553768;9269999552;110000000;0;1747;0;0;7.540979385376;677746;9715005440;1760;1943.001088;195000000;13.123978614807;0;0;140000000;0;
