function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
13;mg_omp_f90_aocc;__nv_resid__PARALLEL_F1L604_2;mg.f90:604-614,mg.f90:624-626;45.75855255127;5.1020889282227;4.9449996948242;5.0875000953674;5.2699990272522;1.0556235313416;0.11919326335192;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_resid__PARALLEL_F1L604_2_;;;;;;;;;;
11;mg_omp_f90_aocc;__nv_psinv__PARALLEL_F1L533_1;mg.f90:533-543,mg.f90:553-555;18.646329879761;2.079069852829;2.0200002193451;2.0731248855591;2.1399998664856;0.34106627106667;0.037601068615913;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_psinv__PARALLEL_F1L533_1_;;;;;;;;;;
17;mg_omp_f90_aocc;__nv_interp__PARALLEL_F1L773_4;mg.f90:773-808;9.2247896194458;1.0285661220551;0.97000002861023;1.0256249904633;1.0849999189377;0.30310687422752;0.033957667648792;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_interp__PARALLEL_F1L773_4_;;;;;;;;;;
15;mg_omp_f90_aocc;__nv_rprj3__PARALLEL_F1L691_3;mg.f90:691-720;6.5152535438538;0.72645223140717;0.70999997854233;0.72437500953674;0.75499999523163;0.16421528160572;0.018015369772911;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_rprj3__PARALLEL_F1L691_3_;;;;;;;;;;
26;mg_omp_f90_aocc;__nv_zran3__PARALLEL_F1L1127_9;mg.f90:1127-1145,mg.f90:1151-1152,mg.f90:1158-1161,mg.f90:1170-1171,mg.f90:1178-1212,mg.f90:1352-1367,mg.f90:1378-1393;5.6214442253113;0.62679225206375;0.625;0.625;0.625;0.0065974351018667;0;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_zran3__PARALLEL_F1L1127_9_;;;;;;;;;;
2487;libomp.so;__kmp_hardware_timestamp;;3.6202099323273;0.40365421772003;0.26499998569489;0.40250000357628;0.5;0.90954333543777;0.10088890790939;3.6202099323273;0.40365421772003;3.2199997901917;3.2200000286102;3.2200002670288;0.03398983925581;1.2744008870413e-07;8;"0,0,100,0,0,0,0,0,0,0,0";__kmp_hardware_timestamp;;;;;;;;;;
1385;libomp.so;__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*);;2.7882363796234;0.31088897585869;0.23499999940395;0.3542857170105;0.47999995946884;0.81868171691895;0.090986646711826;2.7882363796234;0.31088897585869;2.4799997806549;2.4800000190735;2.4800002574921;0.026178313419223;1.2744008870413e-07;7;"0,0,100,0,0,0,0,0,0,0,0";_ZL27__kmp_hyper_barrier_release12barrier_typeP8kmp_infoiiiPv;;;;;;;;;;
3868;libc.so.6;__memset_avx512_unaligned_erms;;2.5465140342712;0.28393688797951;0.26499998569489;0.28312501311302;0.30000001192093;0.12090547382832;0.013346349820495;2.5465140342712;0.28393688797951;2.2649998664856;2.2649998664856;2.2650001049042;0.023909220471978;1.2744008870413e-07;8;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;;;;;;;;;
43;mg_omp_f90_aocc;vranlc;randi8.f90:57-66;0.71954482793808;0.080229409039021;0.070000000298023;0.079999998211861;0.08500000089407;0.041338346898556;0.0046291006729007;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";vranlc_;;;;;;;;;;
23;mg_omp_f90_aocc;__nv_comm3__PARALLEL_F1L1016_7;mg.f90:1016-1040;0.71392345428467;0.079602621495724;0.050000000745058;0.079374998807907;0.11000000685453;0.16204404830933;0.018015371635556;0.0056214439682662;0.00062679225811735;0.0049999998882413;0.0049999998882413;0.0050000003539026;5.2779108955292e-05;3.0484686996957e-10;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_comm3__PARALLEL_F1L1016_7_;;;;;;;;;;
20;mg_omp_f90_aocc;__nv_norm2u3__PARALLEL_F1L949_6;mg.f90:949-959;0.70830196142197;0.078975826501846;0.075000002980232;0.078749999403954;0.080000005662441;0.020716153085232;0.0023145498707891;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";__nv_norm2u3__PARALLEL_F1L949_6_;;;;;;;;;;
1386;libomp.so;__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;0.53403723239899;0.059545271098614;0.21000000834465;0.23749999701977;0.26499998569489;0.344601303339;0.038890857249498;0.53403723239899;0.059545271098614;0.47499996423721;0.47499999403954;0.47500002384186;0.0050139660015702;1.5930011088017e-08;2;"0,0,100,0,0,0,0,0,0,0,0";_ZL26__kmp_hyper_barrier_gather12barrier_typeP8kmp_infoiiPFvPvS2_ES2_;;;;;;;;;;
-1;kernel;__schedule;;0.46095845103264;0.05139696970582;0.025000000372529;0.051249999552965;0.11000000685453;0.25875917077065;0.028753884136677;0.46095845103264;0.05139696970582;0.40999999642372;0.41000002622604;0.41000002622604;0.0043279374949634;1.9510199678052e-08;8;"0,0,98.780487804878,0,0,1.219512195122,0,0,0,0,0";__schedule;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irqrestore;;0.33166521787643;0.036980748176575;0.010000000707805;0.036875002086163;0.125;0.32576057314873;0.036345317959785;0.33166521787643;0.036980748176575;0.29499998688698;0.2950000166893;0.2950000166893;0.0031139785423875;1.1264218890972e-08;8;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;;;;;;;;;;
-1;kernel;do_user_addr_fault;;0.25296497344971;0.028205651789904;0.019999999552965;0.028125001117587;0.040000002831221;0.063288301229477;0.0070394300855696;0.25296497344971;0.028205651789904;0.22499997913837;0.22499999403954;0.2250000089407;0.0023750474210829;1.3795794728821e-08;8;"0,0,0,0,0,100,0,0,0,0,0";do_user_addr_fault;;;;;;;;;;
2078;libc.so.6;__GI___sched_yield;;0.23610064387321;0.026325274258852;0.0049999998882413;0.026250001043081;0.050000004470348;0.13550455868244;0.015059407800436;0.23610064387321;0.026325274258852;0.20999999344349;0.21000000834465;0.21000002324581;0.0022166969720274;7.9650055440084e-09;8;"0,0,100,0,0,0,0,0,0,0,0";__GI___sched_yield;;;;;;;;;;
-1;kernel;clear_page_erms;;0.19675055146217;0.021937731653452;0.0049999998882413;0.021874999627471;0.035000000149012;0.089658387005329;0.0099776536226273;0.19675055146217;0.021937731653452;0.17499999701977;0.17499999701977;0.17500001192093;0.0018472728552297;7.9650055440084e-09;8;"0,0,0,0,0,100,0,0,0,0,0";clear_page_erms;;;;;;;;;;
-1;kernel;do_syscall_64;;0.06745733320713;0.0075215082615614;0.0049999998882413;0.0085714282467961;0.014999999664724;0.033986628055573;0.0037796446122229;0.06745733320713;0.0075215082615614;0.059999994933605;0.059999998658895;0.060000002384186;0.00063334760488942;2.8160547227429e-09;7;"0,0,100,0,0,0,0,0,0,0,0";do_syscall_64;;;;;;;;;;
-1;kernel;__mem_cgroup_charge;;0.04497155174613;0.0050143380649388;0.0049999998882413;0.0080000003799796;0.010000000707805;0.024633344262838;0.002738612703979;0.04497155174613;0.0050143380649388;0.03999999910593;0.03999999910593;0.040000002831221;0.00042223287164234;2.4387749597565e-09;5;"0,0,0,0,0,100,0,0,0,0,0";__mem_cgroup_charge;;;;;;;;;;
-1;kernel;lock_vma_under_rcu;;0.04497155174613;0.0050143380649388;0.0049999998882413;0.0080000003799796;0.010000000707805;0.024589447304606;0.0027386129368097;0.04497155174613;0.0050143380649388;0.03999999910593;0.03999999910593;0.040000002831221;0.00042223287164234;2.4387749597565e-09;5;"0,0,0,0,0,100,0,0,0,0,0";lock_vma_under_rcu;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irq;;0.039350111037493;0.0043875463306904;0.0049999998882413;0.017500000074506;0.029999999329448;0.15904322266579;0.017677668482065;0.039350111037493;0.0043875463306904;0.035000000149012;0.035000000149012;0.035000000149012;0.00036945179454051;0;2;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irq;;;;;;;;;;
-1;kernel;__list_del_entry_valid_or_report;;0.039350111037493;0.0043875463306904;0.0049999998882413;0.0070000002160668;0.010000000707805;0.024646278470755;0.0027386129368097;0.039350111037493;0.0043875463306904;0.035000000149012;0.035000000149012;0.035000000149012;0.00036945179454051;0;5;"0,0,0,0,0,100,0,0,0,0,0";__list_del_entry_valid_or_report;;;;;;;;;;
-1;kernel;do_anonymous_page;;0.039350111037493;0.0043875463306904;0.0049999998882413;0.0069999997504056;0.0099999997764826;0.024675814434886;0.002738612703979;0.039350111037493;0.0043875463306904;0.035000000149012;0.035000000149012;0.035000000149012;0.00036945179454051;0;5;"0,0,0,0,0,100,0,0,0,0,0";do_anonymous_page;;;;;;;;;;
-1;kernel;zap_present_ptes.constprop.0;;0.039350111037493;0.0043875463306904;0.035000000149012;0.035000000149012;0.035000000149012;0;0;0.039350111037493;0.0043875463306904;0.035000000149012;0.035000000149012;0.035000000149012;0.00036945179454051;0;1;"0,0,0,0,0,100,0,0,0,0,0";zap_present_ptes.constprop.0;;;;;;;;;;
-1;kernel;pte_offset_map_rw_nolock;;0.033728666603565;0.0037607541307807;0.0049999998882413;0.0049999998882413;0.0050000003539026;5.9861995396204e-05;2.9451005523207e-10;0.033728666603565;0.0037607541307807;0.029999997466803;0.029999999329448;0.030000001192093;0.00031667380244471;1.4080273613715e-09;6;"0,0,0,0,0,100,0,0,0,0,0";pte_offset_map_rw_nolock;;;;;;;;;;
-1;kernel;__handle_mm_fault;;0.033728666603565;0.0037607541307807;0.0049999998882413;0.0075000002980232;0.015000000596046;0.044980846345425;0.0050000003539026;0.033728666603565;0.0037607541307807;0.029999997466803;0.029999999329448;0.030000001192093;0.00031667380244471;1.4080273613715e-09;4;"0,0,0,0,0,100,0,0,0,0,0";__handle_mm_fault;;;;;;;;;;
-1;kernel;mod_memcg_lruvec_state;;0.028107220306993;0.0031339612323791;0.0049999998882413;0.008333332836628;0.014999999664724;0.051692795008421;0.0057735024020076;0.028107220306993;0.0031339612323791;0.024999998509884;0.025000000372529;0.025000002235174;0.00026389484992251;1.2193874798783e-09;3;"0,0,0,0,0,100,0,0,0,0,0";mod_memcg_lruvec_state;;;;;;;;;;
-1;kernel;handle_pte_fault;;0.028107220306993;0.0031339612323791;0.0049999998882413;0.0062500000931323;0.010000000707805;0.022508937865496;0.0025000004097819;0.028107220306993;0.0031339612323791;0.024999998509884;0.025000000372529;0.025000002235174;0.00026389484992251;1.2193874798783e-09;4;"0,0,0,0,0,100,0,0,0,0,0";handle_pte_fault;;;;;;;;;;
-1;kernel;srso_alias_safe_ret;;0.028107220306993;0.0031339612323791;0.0049999998882413;0.0062500000931323;0.0099999997764826;0.022350857034326;0.00249999971129;0.028107220306993;0.0031339612323791;0.024999998509884;0.025000000372529;0.025000002235174;0.00026389484992251;1.2193874798783e-09;4;"0,0,0,0,0,100,0,0,0,0,0";srso_alias_safe_ret;;;;;;;;;;
32;mg_omp_f90_aocc;__nv_zero3__PARALLEL_F1L1421_11;mg.f90:1421-1428;0.028107220306993;0.0031339612323791;0.0049999998882413;0.0062500000931323;0.0099999997764826;0.022512363269925;0.00249999971129;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";__nv_zero3__PARALLEL_F1L1421_11_;;;;;;;;;;
-1;kernel;blk_cgroup_congested;;0.022485775873065;0.0025071690324694;0.0099999997764826;0.0099999997764826;0.0099999997764826;0.00022838849690743;0;0.022485775873065;0.0025071690324694;0.019999999552965;0.019999999552965;0.02000000141561;0.00021111643582117;1.2193874798783e-09;2;"0,0,0,0,0,100,0,0,0,0,0";blk_cgroup_congested;;;;;;;;;;
