Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;10.240010261536;284248;73770001280;1485000000;0;2194;0;0;0;758711;80730132480;2204;16146.026496;3235000000;10.474462509155;0;0;2240000000;0;
cycles;fedora;_ALL;_ALL;0;0;10.240010261536;284248;73770001280;1485000000;0;2194;0;0;0;758711;80730132480;2204;16146.026496;3235000000;10.474462509155;0;0;2240000000;0;
cycles;fedora;36811;_ALL;0;0;10.240010261536;284248;73770001280;1485000000;0;2194;0;0;0;758711;80730132480;2204;16146.026496;3235000000;10.474462509155;0;0;2240000000;0;
cycles;fedora;36811;36836;10.230316162109;0;9.9000148773193;286587;8974999680;155000000;0;2194;0;0;2.4533355236053;758710;9900014592;2204;1980.0029184;490000000;10.472123146057;0;0;280000000;0;
cycles;fedora;36811;36837;6.6389269828796;0;10.165009498596;286634;9335000768;145000000;0;2194;0;0;6.6389269828796;758710;10165009408;2204;2033.0018816;405000000;10.472075462341;0;0;280000000;0;
cycles;fedora;36811;36835;4.3059611320496;0;10.180021286011;286512;9354999872;180000000;0;2194;0;0;4.3059611320496;758710;10180021248;2204;2036.0042496;375000000;10.472197532654;0;0;270000000;0;
cycles;fedora;36811;36834;3.9874787330627;0;10.180018424988;286454;9469999936;130000000;0;2194;0;0;3.9874787330627;758711;10180018176;2204;2036.0036352;290000000;10.472256660461;0;0;290000000;0;
cycles;fedora;36811;36811;5.1295919418335;0;10.240010261536;284248;9124998912;405000000;0;2194;0;0;2.4592657089233;758711;10240010240;2204;2048.002048;435000000;10.474462509155;0;0;275000000;0;
cycles;fedora;36811;36839;8.3535318374634;0;9.9300184249878;286726;8955002752;160000000;0;2194;0;0;1.9609272480011;758710;9930018816;2204;1986.0037632;550000000;10.471983909607;0;0;265000000;0;
cycles;fedora;36811;36838;6.9652771949768;0;10.215023040771;286681;9595000064;155000000;0;2194;0;0;6.9652771949768;758710;10215022592;2204;2043.0045184;185000000;10.4720287323;0;0;280000000;0;
cycles;fedora;36811;36840;10.229935646057;0;9.9200172424316;286774;8959999296;155000000;0;2194;0;0;1.7460179328918;758713;9920017408;2204;1984.0034816;505000000;10.471939086914;0;0;300000000;0;
