loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
9;mg_omp_f90_gfortran;resid_._omp_fn.0;10;mg.f90:609-611;Innermost;29.6077709198;3.0199987888336;;;;;;29.6077709198;3.0199987888336;;;;;;;;;;;;;;;;
8;mg_omp_f90_gfortran;resid_._omp_fn.0;10;mg.f90:623-623;Innermost;21.519556045532;2.1949992179871;;;;;;21.519556045532;2.1949992179871;;;;;;;;;;;;;;;;
20;mg_omp_f90_gfortran;psinv_._omp_fn.0;14;mg.f90:538-540;Innermost;12.45094871521;1.2699992656708;;;;;;12.45094871521;1.2699992656708;;;;;;;;;;;;;;;;
19;mg_omp_f90_gfortran;psinv_._omp_fn.0;14;mg.f90:547-547;Innermost;8.1372385025024;0.83000004291534;;;;;;8.1372385025024;0.83000004291534;;;;;;;;;;;;;;;;
62;mg_omp_f90_gfortran;rprj3_._omp_fn.0;18;mg.f90:701-703;Innermost;4.9019503593445;0.49999997019768;;;;;;4.9019503593445;0.49999997019768;;;;;;;;;;;;;;;;
61;mg_omp_f90_gfortran;rprj3_._omp_fn.0;18;mg.f90:709-716;Innermost;2.3529362678528;0.23999997973442;;;;;;2.3529362678528;0.23999997973442;;;;;;;;;;;;;;;;
26;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:791-793;Innermost;2.2548973560333;0.23000000417233;;;;;;2.2548973560333;0.23000000417233;;;;;;;;;;;;;;;;
24;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:803-805;Innermost;2.2548973560333;0.23000000417233;;;;;;2.2548973560333;0.23000000417233;;;;;;;;;;;;;;;;
27;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:785-787;Innermost;2.2058777809143;0.22499999403954;;;;;;2.2058777809143;0.22499999403954;;;;;;;;;;;;;;;;
25;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:797-799;Innermost;1.6176437139511;0.16500000655651;;;;;;1.6176437139511;0.16500000655651;;;;;;;;;;;;;;;;
29;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:778-780;Innermost;1.3725461959839;0.14000000059605;;;;;;1.3725461959839;0.14000000059605;;;;;;;;;;;;;;;;
83;mg_omp_f90_gfortran;vranlc;40;randi8.f90:59-61;Single;0.78431212902069;0.079999998211861;;;;;;0.78431212902069;0.079999998211861;;;;;;;;;;;;;;;;
3;mg_omp_f90_gfortran;norm2u3_._omp_fn.0;9;mg.f90:954-956;Innermost;0.68627309799194;0.070000000298023;;;;;;0.68627309799194;0.070000000298023;;;;;;;;;;;;;;;;
56;mg_omp_f90_gfortran;comm3_._omp_fn.0;17;mg.f90:1019-1021;Innermost;0.5882340669632;0.059999994933605;;;;;;0.5882340669632;0.059999994933605;;;;;;;;;;;;;;;;
6;mg_omp_f90_gfortran;resid_._omp_fn.0;10;mg.f90:604-604,mg.f90:607-613,mg.f90:623-623;Outermost;51.666542053223;5.2699975967407;;;;;;0.53921461105347;0.055000003427267;;;;;;;;;;;;;;;;
23;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:773-773,mg.f90:777-780,mg.f90:783-805;Outermost;9.9999799728394;1.0200001001358;;;;;;0.2941170334816;0.029999997466803;;;;;;;;;;;;;;;;
74;mg_omp_f90_gfortran;zran3_._omp_fn.1;31;mg.f90:1143-1156;Innermost;0.24509753286839;0.025000000372529;;;;;;0.24509753286839;0.025000000372529;;;;;;;;;;;;;;;;
52;mg_omp_f90_gfortran;comm3_._omp_fn.0;17;mg.f90:1035-1036;Innermost;0.19607803225517;0.019999999552965;;;;;;0.19607803225517;0.019999999552965;;;;;;;;;;;;;;;;
60;mg_omp_f90_gfortran;rprj3_._omp_fn.0;18;mg.f90:695-703,mg.f90:706-711,mg.f90:716-716;Outermost;7.4019460678101;0.75500005483627;;;;;;0.1470585167408;0.014999998733401;;;;;;;;;;;;;;;;
17;mg_omp_f90_gfortran;psinv_._omp_fn.0;14;mg.f90:533-533,mg.f90:536-542,mg.f90:547-547;Outermost;20.735244750977;2.114999294281;;;;;;0.1470585167408;0.014999998733401;;;;;;;;;;;;;;;;
55;mg_omp_f90_gfortran;comm3_._omp_fn.0;17;mg.f90:1027-1028;Innermost;0.049019508063793;0.0049999998882413;;;;;;0.049019508063793;0.0049999998882413;;;;;;;;;;;;;;;;
75;mg_omp_f90_gfortran;zran3_._omp_fn.1;31;mg.f90:1143-1156;Outermost;0.2941170334816;0.029999997466803;;;;;;0.049019508063793;0.0049999998882413;;;;;;;;;;;;;;;;
13;mg_omp_f90_gfortran;zran3_._omp_fn.0;12;mg.f90:1108-1114;Outermost;0.049019508063793;0.0049999998882413;;;;;;0.049019508063793;0.0049999998882413;;;;;;;;;;;;;;;;
