Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;10.375017166138;58257;73510001088;1595000000;0;2229;0;0;0;491644;80705165312;2239;16141.0330624;3370000000;10.433386802673;0;0;2230000000;0;
cycles;fedora;_ALL;_ALL;0;0;10.375017166138;58257;73510001088;1595000000;0;2229;0;0;0;491644;80705165312;2239;16141.0330624;3370000000;10.433386802673;0;0;2230000000;0;
cycles;fedora;37178;_ALL;0;0;10.375017166138;58257;73510001088;1595000000;0;2229;0;0;0;491644;80705165312;2239;16141.0330624;3370000000;10.433386802673;0;0;2230000000;0;
cycles;fedora;37178;37201;2.4697399139404;0;9.8750190734863;60405;8784997888;175000000;0;2229;0;0;1.1039106845856;491644;9875018752;2239;1975.0037504;635000000;10.431239128113;0;0;280000000;0;
cycles;fedora;37178;37178;10.425075531006;0;10.375017166138;58257;9295000256;410000000;0;2229;0;0;7.205548286438;491644;10375017472;2239;2075.0034944;395000000;10.433386802673;0;0;275000000;0;
cycles;fedora;37178;37202;5.2445740699768;0;9.875020980835;60458;8869998912;170000000;0;2229;0;0;1.549468755722;491643;9875020800;2239;1975.00416;570000000;10.431184768677;0;0;265000000;0;
cycles;fedora;37178;37203;5.9928388595581;0;10.165033340454;60510;9404999936;145000000;0;2229;0;0;5.9928388595581;491643;10165032960;2239;2033.006592;325000000;10.431133270264;0;0;290000000;0;
cycles;fedora;37178;37206;7.1026782989502;0;10.180023193359;60652;9375001216;185000000;0;2229;0;0;7.1026782989502;491643;10180023296;2239;2036.0046592;330000000;10.430991172791;0;0;290000000;0;
cycles;fedora;37178;37204;10.196458816528;0;10.165021896362;60557;9400000896;180000000;0;2229;0;0;7.2036685943604;491643;10165021696;2239;2033.0043392;325000000;10.431086540222;0;0;260000000;0;
cycles;fedora;37178;37207;10.196472167969;0;10.170018196106;60702;9405001984;160000000;0;2229;0;0;6.4845180511475;491644;10170017792;2239;2034.0035584;325000000;10.4309425354;0;0;280000000;0;
cycles;fedora;37178;37205;10.195556640625;0;9.9000129699707;60606;8975000000;170000000;0;2229;0;0;2.8508629798889;491643;9900012544;2239;1980.0025088;465000000;10.431036949158;0;0;290000000;0;
