group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVUPD,VPERMT2PD,;-128,-64,;0x40b289,0x40b2a5,;Success;128;Success;128;128;0;128;128;1;
8;SSSSSSSS;VMOVLPD,VMOVHPD,VMOVLPD,VMOVHPD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,;-128,-112,-64,-48,-96,-80,-32,-16,;0x40b245,0x40b24a,0x40b256,0x40b25b,0x40b267,0x40b273,0x40b27f,0x40b284,;Success;128;Success;64;64;0;120;0;1;
1;L;VPERMT2PD,;-64,;0x40b225,;Success;128;Success;64;64;0;64;0;1;
1;L;VMOVUPD,;0,;0x40b1e6,;Success;128;Success;64;64;0;64;0;1;
1;L;VPERMT2PD,;-64,;0x40b21e,;Success;128;Success;64;64;0;64;0;1;
1;L;VMOVUPD,;0,;0x40b1dc,;Success;128;Success;64;64;0;64;0;1;
2;LL;VMOVUPD,VPERMT2PD,;-128,-64,;0x40b290,0x40b2ac,;Success;128;Success;128;128;0;128;128;1;
1;L;VPERMT2PD,;-64,;0x40b210,;Success;128;Success;64;64;0;64;0;1;
1;L;VMOVUPD,;0,;0x40b1d0,;Success;128;Success;64;64;0;64;0;1;
8;SSSSSSSS;VMOVLPD,VMOVHPD,VMOVLPD,VMOVHPD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,;-128,-112,-64,-48,-96,-80,-32,-16,;0x40b2da,0x40b2e6,0x40b2eb,0x40b2f0,0x40b2fc,0x40b308,0x40b314,0x40b319,;Success;128;Success;64;64;0;120;0;1;
1;L;VPERMT2PD,;-64,;0x40b217,;Success;128;Success;64;64;0;64;0;1;
1;L;VMOVUPD,;0,;0x40b1d6,;Success;128;Success;64;64;0;64;0;1;
2;LL;VMOVUPD,VPERMT2PD,;-128,-64,;0x40b29e,0x40b2ba,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;-128,-64,;0x40b297,0x40b2b3,;Success;128;Success;128;128;0;128;128;1;
