function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
25;mg_mpi_f90_aocc;resid;mg.f90:708-708,mg.f90:732-743,mg.f90:753-773;39.814311981201;3.8599984645844;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";resid_;;;;;;;;;;
26;mg_mpi_f90_aocc;psinv;mg.f90:638-638,mg.f90:662-678,mg.f90:687-703;14.234131813049;1.3799993991852;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";psinv_;;;;;;;;;;
20;mg_mpi_f90_aocc;interp;mg.f90:876-876,mg.f90:905-942,mg.f90:953-1020,mg.f90:1026-1041;9.2831325531006;0.89999997615814;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";interp_;;;;;;;;;;
36;libfabric.so.1.28.0;fi_getinfo;;7.9422359466553;0.76999998092651;0;0;0;0;0;7.9422359466553;0.76999998092651;0;0;0;0;0;;"0,98.701298701299,0,0,0,0,0,0,0,0,1.2987012987013";fi_getinfo;;;;;;;;;;
27;mg_mpi_f90_aocc;rprj3;mg.f90:778-778,mg.f90:802-813,mg.f90:819-871;5.6214528083801;0.54499995708466;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";rprj3_;;;;;;;;;;
993;libc.so.6;mmap_remap_check;;3.5069613456726;0.34000000357628;0;0;0;0;0;3.5069613456726;0.34000000357628;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";mmap_remap_check;;;;;;;;;;
1341;libc.so.6;__syscall_cancel_arch;;2.8365128040314;0.27499997615814;0;0;0;0;0;2.8365128040314;0.27499997615814;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__syscall_cancel_arch;;;;;;;;;;
-1;kernel;module_get_kallsym;;1.2893240451813;0.125;0;0;0;0;0;1.2893240451813;0.125;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";module_get_kallsym;;;;;;;;;;
23;mg_mpi_f90_aocc;give3;mg.f90:1263-1263,mg.f90:1282-1388,mg.f90:1394-1394;1.2893240451813;0.125;0;0;0;0;0;0.05157296359539;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";give3_;;;;;;;;;;
22;mg_mpi_f90_aocc;take3;mg.f90:1399-1399,mg.f90:1422-1443,mg.f90:1450-1465,mg.f90:1472-1487,mg.f90:1495-1495;1.1861782073975;0.11500000953674;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";take3_;;;;;;;;;;
1967;libmpi.so.40.40.7;ompi_mtl_psm2_register_pvars;;1.1346051692963;0.10999999940395;0;0;0;0;0;1.1346051692963;0.10999999940395;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";ompi_mtl_psm2_register_pvars;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irqrestore;;1.0314592123032;0.099999994039536;0;0;0;0;0;1.0314592123032;0.099999994039536;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;;;;;;;;;;
-1;kernel;do_syscall_64;;0.97988629341125;0.094999998807907;0;0;0;0;0;0.97988629341125;0.094999998807907;0;0;0;0;0;;"0,94.736842105263,0,0,0,5.2631578947368,0,0,0,0,0";do_syscall_64;;;;;;;;;;
987;libc.so.6;_IO_peekc_locked;;0.97988629341125;0.094999998807907;0;0;0;0;0;0.97988629341125;0.094999998807907;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0,0";_IO_peekc_locked;;;;;;;;;;
40;mg_mpi_f90_aocc;vranlc;randi8.f90:41-41,randi8.f90:57-66;0.72202146053314;0.070000000298023;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";vranlc_;;;;;;;;;;
10;mg_mpi_f90_aocc;norm2u3;mg.f90:1046-1046,mg.f90:1071-1098;0.72202146053314;0.070000000298023;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";norm2u3_;;;;;;;;;;
-1;kernel;do_user_addr_fault;;0.61887556314468;0.060000002384186;0;0;0;0;0;0.61887556314468;0.060000002384186;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";do_user_addr_fault;;;;;;;;;;
31;mg_mpi_f90_aocc;zran3;mg.f90:2119-2119,mg.f90:2149-2170,mg.f90:2182-2207,mg.f90:2220-2265,mg.f90:2293-2306,mg.f90:2313-2313;0.46415662765503;0.044999998062849;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";zran3_;;;;;;;;;;
-1;kernel;clear_page_erms;;0.41258370876312;0.040000002831221;0;0;0;0;0;0.41258370876312;0.040000002831221;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";clear_page_erms;;;;;;;;;;
-1;kernel;vsnprintf;;0.30943778157234;0.030000001192093;0;0;0;0;0;0.30943778157234;0.030000001192093;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";vsnprintf;;;;;;;;;;
-1;kernel;fdget;;0.30943778157234;0.030000001192093;0;0;0;0;0;0.30943778157234;0.030000001192093;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";fdget;;;;;;;;;;
-1;kernel;__schedule;;0.25786480307579;0.024999998509884;0;0;0;0;0;0.25786480307579;0.024999998509884;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";__schedule;;;;;;;;;;
-1;kernel;__x64_sys_epoll_wait;;0.25786480307579;0.024999998509884;0;0;0;0;0;0.25786480307579;0.024999998509884;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__x64_sys_epoll_wait;;;;;;;;;;
-1;kernel;_copy_to_iter;;0.20629185438156;0.02000000141561;0;0;0;0;0;0.20629185438156;0.02000000141561;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";_copy_to_iter;;;;;;;;;;
-1;kernel;do_epoll_wait;;0.15471889078617;0.015000000596046;0;0;0;0;0;0.15471889078617;0.015000000596046;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";do_epoll_wait;;;;;;;;;;
-1;kernel;cmp_name;;0.15471889078617;0.015000000596046;0;0;0;0;0;0.15471889078617;0.015000000596046;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";cmp_name;;;;;;;;;;
1109;libc.so.6;__internal_syscall_cancel;;0.15471889078617;0.015000000596046;0;0;0;0;0;0.15471889078617;0.015000000596046;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__internal_syscall_cancel;;;;;;;;;;
-1;kernel;srso_alias_safe_ret;;0.15471889078617;0.015000000596046;0;0;0;0;0;0.15471889078617;0.015000000596046;0;0;0;0;0;;"0,66.666666666667,0,0,0,33.333333333333,0,0,0,0,0";srso_alias_safe_ret;;;;;;;;;;
