loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
143;mg_mpi_f90_gfortran;resid;25;mg.f90:739-741;Innermost;27.480495452881;2.6449999809265;;;;;;27.480495452881;2.6449999809265;;;;;;;;;;;;;;;;
142;mg_mpi_f90_gfortran;resid;25;mg.f90:753-753;Innermost;10.961030006409;1.0550000667572;;;;;;10.961030006409;1.0550000667572;;;;;;;;;;;;;;;;
147;mg_mpi_f90_gfortran;psinv;26;mg.f90:669-671;Innermost;9.4545373916626;0.91000002622604;;;;;;9.4545373916626;0.91000002622604;;;;;;;;;;;;;;;;
146;mg_mpi_f90_gfortran;psinv;26;mg.f90:678-678;Innermost;5.6103849411011;0.54000002145767;;;;;;5.6103849411011;0.54000002145767;;;;;;;;;;;;;;;;
152;mg_mpi_f90_gfortran;rprj3;27;mg.f90:835-837;Innermost;4.4675288200378;0.43000000715256;;;;;;4.4675288200378;0.43000000715256;;;;;;;;;;;;;;;;
101;mg_mpi_f90_gfortran;interp;20;mg.f90:934-936;Innermost;2.4935042858124;0.23999999463558;;;;;;2.4935042858124;0.23999999463558;;;;;;;;;;;;;;;;
100;mg_mpi_f90_gfortran;interp;20;mg.f90:928-930;Innermost;2.0779204368591;0.20000001788139;;;;;;2.0779204368591;0.20000001788139;;;;;;;;;;;;;;;;
103;mg_mpi_f90_gfortran;interp;20;mg.f90:922-924;Innermost;1.766232252121;0.17000000178814;;;;;;1.766232252121;0.17000000178814;;;;;;;;;;;;;;;;
102;mg_mpi_f90_gfortran;interp;20;mg.f90:940-942;Innermost;1.662336230278;0.16000001132488;;;;;;1.662336230278;0.16000001132488;;;;;;;;;;;;;;;;
151;mg_mpi_f90_gfortran;rprj3;27;mg.f90:844-851;Innermost;1.4545441865921;0.14000000059605;;;;;;1.4545441865921;0.14000000059605;;;;;;;;;;;;;;;;
104;mg_mpi_f90_gfortran;interp;20;mg.f90:915-917;Innermost;1.2987002134323;0.125;;;;;;1.2987002134323;0.125;;;;;;;;;;;;;;;;
138;mg_mpi_f90_gfortran;give3;23;mg.f90:1307-1307;Innermost;1.1428562402725;0.11000000685453;;;;;;1.1428562402725;0.11000000685453;;;;;;;;;;;;;;;;
140;mg_mpi_f90_gfortran;resid;25;mg.f90:732-732,mg.f90:736-743,mg.f90:753-753;InBetween;39.584381103516;3.8099999427795;;;;;;1.1428562402725;0.11000000685453;;;;;;;;;;;;;;;;
2;mg_mpi_f90_gfortran;norm2u3;10;mg.f90:1078-1081;Innermost;0.77922016382217;0.075000010430813;;;;;;0.77922016382217;0.075000010430813;;;;;;;;;;;;;;;;
182;mg_mpi_f90_gfortran;vranlc;40;randi8.f90:59-61;Single;0.77922016382217;0.075000010430813;;;;;;0.77922016382217;0.075000010430813;;;;;;;;;;;;;;;;
136;mg_mpi_f90_gfortran;give3;23;mg.f90:1291-1291;Innermost;0.57142812013626;0.055000003427267;;;;;;0.57142812013626;0.055000003427267;;;;;;;;;;;;;;;;
165;mg_mpi_f90_gfortran;zran3;31;mg.f90:2194-2207;Innermost;0.4155840575695;0.040000002831221;;;;;;0.4155840575695;0.040000002831221;;;;;;;;;;;;;;;;
123;mg_mpi_f90_gfortran;take3;22;mg.f90:1432-1434;Innermost;0.4155840575695;0.040000002831221;;;;;;0.4155840575695;0.040000002831221;;;;;;;;;;;;;;;;
99;mg_mpi_f90_gfortran;interp;20;mg.f90:912-917,mg.f90:920-942,mg.f90:974-974,mg.f90:987-987;InBetween;9.6103811264038;0.92500001192093;;;;;;0.31168803572655;0.029999999329448;;;;;;;;;;;;;;;;
144;mg_mpi_f90_gfortran;psinv;26;mg.f90:666-673,mg.f90:678-678;InBetween;15.376609802246;1.4800000190735;;;;;;0.31168803572655;0.029999999329448;;;;;;;;;;;;;;;;
150;mg_mpi_f90_gfortran;rprj3;27;mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;InBetween;6.1818127632141;0.59500002861023;;;;;;0.25974005460739;0.025000002235174;;;;;;;;;;;;;;;;
125;mg_mpi_f90_gfortran;take3;22;mg.f90:1441-1443;Innermost;0.20779202878475;0.02000000141561;;;;;;0.20779202878475;0.02000000141561;;;;;;;;;;;;;;;;
141;mg_mpi_f90_gfortran;resid;25;mg.f90:735-736;Outermost;39.688278198242;3.8200001716614;;;;;;0.10389601439238;0.010000000707805;;;;;;;;;;;;;;;;
145;mg_mpi_f90_gfortran;psinv;26;mg.f90:665-667,mg.f90:678-678;Outermost;15.428557395935;1.4850000143051;;;;;;0.051948007196188;0.0050000003539026;;;;;;;;;;;;;;;;
4;mg_mpi_f90_gfortran;zero3;11;mg.f90:2564-2566;Innermost;0.051948007196188;0.0050000003539026;;;;;;0.051948007196188;0.0050000003539026;;;;;;;;;;;;;;;;
