block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
140;mg_omp_f90_gfortran;mg.f90:609-611;29.010925292969;3.9599986076355;;;;;;;;;;;;;;;;
165;mg_omp_f90_gfortran;mg.f90:623-623;21.135488510132;2.8849995136261;;;;;;;;;;;;;;;;
383;mg_omp_f90_gfortran;mg.f90:538-540;13.626346588135;1.8599996566772;;;;;;;;;;;;;;;;
404;mg_omp_f90_gfortran;mg.f90:547-547;8.7911930084229;1.200000166893;;;;;;;;;;;;;;;;
1073;mg_omp_f90_gfortran;mg.f90:701-703;5.5677552223206;0.75999999046326;;;;;;;;;;;;;;;;
1089;mg_omp_f90_gfortran;mg.f90:709-716;3.626366853714;0.49499997496605;;;;;;;;;;;;;;;;
525;mg_omp_f90_gfortran;mg.f90:791-793;1.8314983844757;0.24999998509884;;;;;;;;;;;;;;;;
568;mg_omp_f90_gfortran;mg.f90:803-805;1.7216084003448;0.23499998450279;;;;;;;;;;;;;;;;
486;mg_omp_f90_gfortran;mg.f90:778-780;1.64834856987;0.22499999403954;;;;;;;;;;;;;;;;
503;mg_omp_f90_gfortran;mg.f90:785-787;1.2820489406586;0.17500001192093;;;;;;;;;;;;;;;;
1920;mg_omp_f90_gfortran;randi8.f90:59-61;1.0622690916061;0.14500001072884;;;;;;;;;;;;;;;;
547;mg_omp_f90_gfortran;mg.f90:797-799;1.0622690916061;0.14500001072884;;;;;;;;;;;;;;;;
947;mg_omp_f90_gfortran;mg.f90:1019-1021;0.84248930215836;0.11500000208616;;;;;;;;;;;;;;;;
64;mg_omp_f90_gfortran;mg.f90:954-956;0.62270945310593;0.08500000089407;;;;;;;;;;;;;;;;
150;mg_omp_f90_gfortran;mg.f90:609-611;0.21977980434895;0.029999999329448;;;;;;;;;;;;;;;;
1003;mg_omp_f90_gfortran;mg.f90:1035-1036;0.21977980434895;0.029999999329448;;;;;;;;;;;;;;;;
393;mg_omp_f90_gfortran;mg.f90:538-540;0.18314984440804;0.025000000372529;;;;;;;;;;;;;;;;
1453;mg_omp_f90_gfortran;mg.f90:1144-1144;0.14651986956596;0.019999999552965;;;;;;;;;;;;;;;;
1457;mg_omp_f90_gfortran;mg.f90:1143-1144;0.14651986956596;0.019999999552965;;;;;;;;;;;;;;;;
1459;mg_omp_f90_gfortran;mg.f90:1151-1151;0.14651986956596;0.019999999552965;;;;;;;;;;;;;;;;
1092;mg_omp_f90_gfortran;mg.f90:709-716;0.073259934782982;0.0099999997764826;;;;;;;;;;;;;;;;
1094;mg_omp_f90_gfortran;mg.f90:706-716;0.073259934782982;0.0099999997764826;;;;;;;;;;;;;;;;
1461;mg_omp_f90_gfortran;mg.f90:1143-1143;0.073259934782982;0.0099999997764826;;;;;;;;;;;;;;;;
968;mg_omp_f90_gfortran;mg.f90:1027-1028;0.073259934782982;0.0099999997764826;;;;;;;;;;;;;;;;
541;mg_omp_f90_gfortran;mg.f90:791-793;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
141;mg_omp_f90_gfortran;mg.f90:609-609,mg.f90:623-623;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
400;mg_omp_f90_gfortran;mg.f90:547-547;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
157;mg_omp_f90_gfortran;mg.f90:623-623;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
1084;mg_omp_f90_gfortran;mg.f90:716-716;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
1091;mg_omp_f90_gfortran;mg.f90:706-716;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
1455;mg_omp_f90_gfortran;mg.f90:1151-1151;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
495;mg_omp_f90_gfortran;mg.f90:778-780;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
478;mg_omp_f90_gfortran;mg.f90:779-779;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
132;mg_omp_f90_gfortran;mg.f90:609-609;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
488;mg_omp_f90_gfortran;mg.f90:780-780;0.036629967391491;0.0049999998882413;;;;;;;;;;;;;;;;
