function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
10;mg_omp_f90_gfortran;resid_._omp_fn.0;mg.f90:604-613,mg.f90:623-623;47.797435760498;4.5670604705811;4.2649970054626;4.5574989318848;4.7950000762939;2.1945712566376;0.22175563871861;1.1746163863791e-06;1.1223497864421e-07;4.4799995180256e-07;4.4799998022427e-07;4.4800000864598e-07;1.3966323209047e-08;3.2818562591911e-14;4;"100,0,0,0,0,0,0,0,0,0,0";resid_._omp_fn.0;;;;;;;;;;
14;mg_omp_f90_gfortran;psinv_._omp_fn.0;mg.f90:533-547;20.831077575684;1.9904164075851;1.9349988698959;1.9862492084503;2.049998998642;0.45542392134666;0.048196639865637;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";psinv_._omp_fn.0;;;;;;;;;;
15;mg_omp_f90_gfortran;interp_._omp_fn.0;mg.f90:773-805;10.107469558716;0.96577203273773;0.92499995231628;0.96374994516373;1;0.30533400177956;0.031721454113722;0.013109557330608;0.0012526224600151;0.00499999942258;0.0049999998882413;0.0049999998882413;0.00015587499365211;2.6884966475293e-10;4;"100,0,0,0,0,0,0,0,0,0,0";interp_._omp_fn.0;;;;;;;;;;
18;mg_omp_f90_gfortran;rprj3_._omp_fn.0;mg.f90:692-716;8.3507871627808;0.79792046546936;0.7849999666214;0.79624998569489;0.81499993801117;0.15245650708675;0.014361377805471;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";rprj3_._omp_fn.0;;;;;;;;;;
167;libgomp.so.1.0.0;omp_get_num_procs;;3.303608417511;0.31566086411476;0.064999997615814;0.31499999761581;0.47499996423721;1.8692237138748;0.17757625877857;3.303608417511;0.31566086411476;1.259999871254;1.2599999904633;1.2599999904633;0.039280224591494;6.8825514176751e-08;4;"0,0,100,0,0,0,0,0,0,0,0";omp_get_num_procs;;;;;;;;;;
3868;libc.so.6;__memset_avx512_unaligned_erms;;2.9496502876282;0.28184005618095;0.25999999046326;0.28125;0.29999998211861;0.17512720823288;0.01652018725872;2.9496502876282;0.28184005618095;1.1249998807907;1.1249998807907;1.125;0.035071831196547;6.8825514176751e-08;4;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;;;;;;;;;
17;mg_omp_f90_gfortran;comm3_._omp_fn.0;mg.f90:1016-1036;1.2847366333008;0.12275701016188;0.10499999672174;0.12250000238419;0.14499999582767;0.17463241517544;0.016583122313023;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";comm3_._omp_fn.0;;;;;;;;;;
40;mg_omp_f90_gfortran;vranlc;randi8.f90:41-41,randi8.f90:57-66;0.8127925992012;0.077662594616413;0.074999995529652;0.077500000596046;0.079999998211861;0.028336910530925;0.0028867528308183;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";vranlc_;;;;;;;;;;
9;mg_omp_f90_gfortran;norm2u3_._omp_fn.0;mg.f90:950-956;0.77346390485764;0.073904730379581;0.069999992847443;0.073749996721745;0.079999998211861;0.050185780972242;0.0047871363349259;0;0;0;0;0;0;0;4;"100,0,0,0,0,0,0,0,0,0,0";norm2u3_._omp_fn.0;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irqrestore;;0.57682055234909;0.055115390568972;0.025000000372529;0.054999995976686;0.12999999523163;0.52920824289322;0.050166390836239;0.57682055234909;0.055115390568972;0.21999998390675;0.21999999880791;0.21999999880791;0.0068584787659347;8.6031892720939e-09;4;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;;;;;;;;;;
