ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 9;mg_omp_f90_gfortran;mg.f90:609-611;resid_._omp_fn.0;Innermost;3.1249990463257;2.4388556480408;25.524303436279;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 8;mg_omp_f90_gfortran;mg.f90:623-623;resid_._omp_fn.0;Innermost;2.3799991607666;2.0793528556824;21.761859893799;1.00;1.00;1.00;1.25;1;100.00;100.00;20.00;20.00;20.00;20.00;16.00
Loop 20;mg_omp_f90_gfortran;mg.f90:538-540;psinv_._omp_fn.0;Innermost;1.3499997854233;1.2463593482971;13.044008255005;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 19;mg_omp_f90_gfortran;mg.f90:547-547;psinv_._omp_fn.0;Innermost;0.89999997615814;0.72276312112808;7.5642142295837;1.00;1.00;1.00;1.17;1;100.00;100.00;11.67;11.67;11.67;11.67;10.00
Loop 62;mg_omp_f90_gfortran;mg.f90:701-703;rprj3_._omp_fn.0;Innermost;0.48999997973442;0.48225963115692;5.0471792221069;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 61;mg_omp_f90_gfortran;mg.f90:709-716;rprj3_._omp_fn.0;Innermost;0.31499999761581;0.30313464999199;3.1725130081177;1.00;1.00;1.00;2.00;1;100.00;100.00;24.00;24.00;24.00;24.00;12.00
Loop 24;mg_omp_f90_gfortran;mg.f90:803-805;interp_._omp_fn.0;Innermost;0.27499997615814;0.23799827694893;2.4908158779144;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 26;mg_omp_f90_gfortran;mg.f90:791-793;interp_._omp_fn.0;Innermost;0.24500001966953;0.21545107662678;2.2548439502716;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 29;mg_omp_f90_gfortran;mg.f90:778-780;interp_._omp_fn.0;Innermost;0.22499999403954;0.18288287520409;1.91399538517;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 25;mg_omp_f90_gfortran;mg.f90:797-799;interp_._omp_fn.0;Innermost;0.18999998271465;0.16785141825676;1.756680727005;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
