loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
37;mg_omp_cpp_aocc;resid(void*, void*, void*, int, int, int, double*, int);11;mg.cpp:881-885;Innermost;22.796836853027;7.2300004959106;7.2300009727478;7.2300009727478;7.2300009727478;0;0;22.796836853027;7.2300004959106;7.2300009727478;7.2300009727478;7.2300009727478;0;0;1;;;;;;;;;;
23;mg_omp_cpp_aocc;zran3(void*, int, int, int, int, int, int);9;mg.cpp:479-479,mg.cpp:501-501,mg.cpp:1163-1165,mg.cpp:1172-1172;Innermost;16.017700195313;5.0800023078918;5.0800018310547;5.0800018310547;5.0800018310547;0;0;16.017700195313;5.0800023078918;5.0800018310547;5.0800018310547;5.0800018310547;0;0;1;;;;;;;;;;
38;mg_omp_cpp_aocc;resid(void*, void*, void*, int, int, int, double*, int);11;mg.cpp:888-893;Innermost;12.943432807922;4.1050004959106;4.1050004959106;4.1050004959106;4.1050004959106;0;0;12.943432807922;4.1050004959106;4.1050004959106;4.1050004959106;4.1050004959106;0;0;1;;;;;;;;;;
77;mg_omp_cpp_aocc;psinv(void*, void*, int, int, int, double*, int);19;mg.cpp:808-812;Innermost;10.294834136963;3.2649993896484;3.2649991512299;3.2649991512299;3.2649991512299;0;0;10.294834136963;3.2649993896484;3.2649991512299;3.2649991512299;3.2649991512299;0;0;1;;;;;;;;;;
93;mg_omp_cpp_aocc;vranlc(int, double*, double, double*);25;c_randdp.cpp:155-155,c_randdp.cpp:163-172;Single;8.8286514282227;2.8000004291534;2.8000004291534;2.8000004291534;2.8000004291534;0;0;8.8286514282227;2.8000004291534;2.8000004291534;2.8000004291534;2.8000004291534;0;0;1;;;;;;;;;;
78;mg_omp_cpp_aocc;psinv(void*, void*, int, int, int, double*, int);19;mg.cpp:814-819;Innermost;7.7093024253845;2.4449999332428;2.4449996948242;2.4449996948242;2.4449996948242;0;0;7.7093024253845;2.4449999332428;2.4449996948242;2.4449996948242;2.4449996948242;0;0;1;;;;;;;;;;
57;mg_omp_cpp_aocc;mg3P(double*, double*, double*, double*, double*, int, int, int, int);12;mg.cpp:957-961;Innermost;4.5089173316956;1.4299999475479;1.4299999475479;1.4299999475479;1.4299999475479;0;0;4.5089173316956;1.4299999475479;1.4299999475479;1.4299999475479;1.4299999475479;0;0;1;;;;;;;;;;
54;mg_omp_cpp_aocc;mg3P(double*, double*, double*, double*, double*, int, int, int, int);12;mg.cpp:963-973;Innermost;3.4526324272156;1.0950000286102;1.0950000286102;1.0950000286102;1.0950000286102;0;0;3.4526324272156;1.0950000286102;1.0950000286102;1.0950000286102;1.0950000286102;0;0;1;;;;;;;;;;
32;mg_omp_cpp_aocc;norm2u3(void*, int, int, int, double*, double*, int, int, int);10;mg.cpp:735-738;Innermost;1.8130263090134;0.57500004768372;0.57499998807907;0.57499998807907;0.57499998807907;0;0;1.8130263090134;0.57500004768372;0.57499998807907;0.57499998807907;0.57499998807907;0;0;1;;;;;;;;;;
88;mg_omp_cpp_aocc;interp(void*, int, int, int, void*, int, int, int, int);20;mg.cpp:624-627;Innermost;1.3400629758835;0.42500004172325;0.42500001192093;0.42500001192093;0.42500001192093;0;0;1.3400629758835;0.42500004172325;0.42500001192093;0.42500001192093;0.42500001192093;0;0;1;;;;;;;;;;
86;mg_omp_cpp_aocc;interp(void*, int, int, int, void*, int, int, int, int);20;mg.cpp:614-617;Innermost;1.2454702854156;0.39500001072884;0.39500001072884;0.39500001072884;0.39500001072884;0;0;1.2454702854156;0.39500001072884;0.39500001072884;0.39500001072884;0.39500001072884;0;0;1;;;;;;;;;;
