ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 37;mg_omp_cpp_aocc;mg.cpp:881-885;resid(void*, void*, void*, int, int, int, double*, int);Innermost;4.1850004196167;4.5435981750488;20.002674102783;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 38;mg_omp_cpp_aocc;mg.cpp:888-893;resid(void*, void*, void*, int, int, int, double*, int);Innermost;3.0800001621246;3.714474439621;16.352550506592;1.00;1.00;1.00;1.58;1;100.00;100.00;6.33;6.33;6.33;6.33;4.00
Loop 23;mg_omp_cpp_aocc;mg.cpp:479-479,mg.cpp:501-501,mg.cpp:1163-1165,mg.cpp:1172-1172;zran3(void*, int, int, int, int, int, int);Innermost;5.0899982452393;3.0692639350891;13.512085914612;6.85;1.00;10.46;30.12;121;15.96;9.63;406.67;59.33;406.67;38.90;13.50
Loop 77;mg_omp_cpp_aocc;mg.cpp:808-812;psinv(void*, void*, int, int, int, double*, int);Innermost;2.1550002098083;2.5687758922577;11.308743476868;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 93;mg_omp_cpp_aocc;c_randdp.cpp:155-155,c_randdp.cpp:163-172;vranlc(int, double*, double, double*);Single;2.7900002002716;1.6823675632477;7.4064316749573;1.00;3.13;8.00;1.00;1;0.00;12.50;37.00;37.00;11.82;4.63;37.00
Loop 78;mg_omp_cpp_aocc;mg.cpp:814-819;psinv(void*, void*, int, int, int, double*, int);Innermost;1.1850000619888;1.3054928779602;5.7472839355469;1.00;1.00;1.04;1.67;1;93.75;94.53;6.67;6.67;6.67;6.42;4.00
Loop 57;mg_omp_cpp_aocc;mg.cpp:957-961;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.87500005960464;1.02208340168;4.4996061325073;1.02;1.00;1.00;2.07;1;96.15;96.63;20.67;20.33;20.67;20.67;10.00
Loop 54;mg_omp_cpp_aocc;mg.cpp:963-973;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.5900000333786;0.66932892799377;2.9466445446014;1.00;1.03;4.00;1.00;1;0.00;12.50;5.50;5.50;5.33;1.38;5.50
Loop 88;mg_omp_cpp_aocc;mg.cpp:624-627;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.28499999642372;0.34370946884155;1.5131418704987;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 32;mg_omp_cpp_aocc;mg.cpp:735-738;norm2u3(void*, int, int, int, double*, double*, int, int, int);Innermost;0.35500001907349;0.34370946884155;1.5131418704987;1.00;2.40;8.00;1.00;1;16.67;14.58;4.00;4.00;1.67;0.50;4.00
Loop 86;mg_omp_cpp_aocc;mg.cpp:614-617;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.27500000596046;0.31657454371452;1.3936833143234;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 87;mg_omp_cpp_aocc;mg.cpp:619-622;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.21000000834465;0.24722962081432;1.0884002447128;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 83;mg_omp_cpp_aocc;mg.cpp:603-606;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.20000000298023;0.24119961261749;1.0618538856506;1.00;1.00;1.00;1.00;1;100.00;100.00;4.00;4.00;4.00;4.00;4.00
Loop 85;mg_omp_cpp_aocc;mg.cpp:611-612;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.18000000715256;0.18089973926544;0.79639047384262;1.00;1.00;1.00;2.00;1;100.00;100.00;4.00;4.00;4.00;4.00;2.00
Loop 69;mg_omp_cpp_aocc;mg.cpp:545-547;comm3(void*, int, int, int, int);Innermost;0.13500000536442;0.13265980780125;0.58401966094971;1.00;1.00;5.33;1.33;1;0.00;12.50;1.33;1.33;1.33;0.25;1.00
Loop 41;mg_omp_cpp_aocc;mg.cpp:880-885;resid(void*, void*, void*, int, int, int, double*, int);Innermost;0.070000000298023;0.060299903154373;0.26546347141266;1.00;1.00;4.44;1.11;1;0.00;12.50;3.33;3.33;3.33;0.75;3.00
