group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVSD,;0,;0x7ab0,;Success;8;Success;8;8;0;8;8;1;
1;S;VMOVSD,;0,;0x7ac6,;Success;8;Success;8;8;0;8;8;1;
1;S;VMOVSD,;0,;0x7ae3,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7abb,;Success;8;Success;8;8;0;8;8;1;
1;L;VMOVSD,;0,;0x7acd,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7ad8,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7ac1,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7add,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7ad2,;Success;8;Success;8;8;0;8;8;1;
1;L;VADDSD,;0,;0x7ab6,;Success;8;Success;8;8;0;8;8;1;
