group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x412d43,0x412d86,0x412de0,0x412e24,;Success;256;Success;256;256;0;256;256;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412dd9,0x412e2c,0x412e48,0x412e94,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412d3c,0x412d6f,0x412d8e,0x412e50,;Success;256;Success;256;256;0;256;256;4;
1;L;CMP,;-64,;0x412ea3,;Success;0;Success;8;8;0;8;0;1;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412d35,0x412d67,0x412dba,0x412e14,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x412d77,0x412db2,0x412e0c,0x412e78,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412d58,0x412d7e,0x412dd1,0x412e70,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412d51,0x412da4,0x412df6,0x412e58,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x412d60,0x412dc9,0x412e1c,0x412e68,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x412d4a,0x412d9c,0x412dee,0x412e60,;Success;256;Success;256;256;0;256;256;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x412dc2,0x412e04,0x412e3a,0x412e8c,;Success;256;Success;256;256;0;256;256;4;
