key;label;is_mpi;is_omp;
fedora_544037;1;true;false;
fedora_544037_544037;1.0;true;false;
fedora_544029;3;true;false;
fedora_544029_544029;3.0;true;false;
fedora_544041;2;true;false;
fedora_544041_544041;2.0;true;false;
fedora_544038;0;true;false;
fedora_544038_544038;0.0;true;false;
fedora_544039;5;true;false;
fedora_544039_544039;5.0;true;false;
fedora_544040;4;true;false;
fedora_544040_544040;4.0;true;false;
fedora_544036;7;true;false;
fedora_544036_544036;7.0;true;false;
fedora_544042;6;true;false;
fedora_544042_544042;6.0;true;false;
