loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
148;mg_mpi_f90_gfortran;resid;27;mg.f90:739-741;Innermost;21.717527389526;2.6299996376038;;;;;;21.717527389526;2.6299996376038;;;;;;;;;;;;;;;;
147;mg_mpi_f90_gfortran;resid;27;mg.f90:753-753;Innermost;12.881879806519;1.5599998235703;;;;;;12.881879806519;1.5599998235703;;;;;;;;;;;;;;;;
144;mg_mpi_f90_gfortran;psinv;26;mg.f90:669-671;Innermost;8.1337518692017;0.98500001430511;;;;;;8.1337518692017;0.98500001430511;;;;;;;;;;;;;;;;
143;mg_mpi_f90_gfortran;psinv;26;mg.f90:678-678;Innermost;5.3674502372742;0.65000003576279;;;;;;5.3674502372742;0.65000003576279;;;;;;;;;;;;;;;;
140;mg_mpi_f90_gfortran;rprj3;25;mg.f90:835-837;Innermost;4.4178242683411;0.5349999666214;;;;;;4.4178242683411;0.5349999666214;;;;;;;;;;;;;;;;
95;mg_mpi_f90_gfortran;interp;20;mg.f90:934-936;Innermost;1.9405397176743;0.23499999940395;;;;;;1.9405397176743;0.23499999940395;;;;;;;;;;;;;;;;
97;mg_mpi_f90_gfortran;interp;20;mg.f90:922-924;Innermost;1.8579635620117;0.2250000089407;;;;;;1.8579635620117;0.2250000089407;;;;;;;;;;;;;;;;
94;mg_mpi_f90_gfortran;interp;20;mg.f90:940-942;Innermost;1.6928113698959;0.20500001311302;;;;;;1.6928113698959;0.20500001311302;;;;;;;;;;;;;;;;
139;mg_mpi_f90_gfortran;rprj3;25;mg.f90:844-851;Innermost;1.65152323246;0.20000001788139;;;;;;1.65152323246;0.20000001788139;;;;;;;;;;;;;;;;
96;mg_mpi_f90_gfortran;interp;20;mg.f90:928-930;Innermost;1.5689470767975;0.18999999761581;;;;;;1.5689470767975;0.18999999761581;;;;;;;;;;;;;;;;
145;mg_mpi_f90_gfortran;resid;27;mg.f90:736-743,mg.f90:753-753,mg.f90:773-773;InBetween;36.044490814209;4.3649997711182;;;;;;1.445082783699;0.17499999701977;;;;;;;;;;;;;;;;
192;mg_mpi_f90_gfortran;vranlc;40;randi8.f90:59-61;Single;0.99091392755508;0.11999999731779;;;;;;0.99091392755508;0.11999999731779;;;;;;;;;;;;;;;;
98;mg_mpi_f90_gfortran;interp;20;mg.f90:915-917;Innermost;0.94962584972382;0.11500000208616;;;;;;0.94962584972382;0.11500000208616;;;;;;;;;;;;;;;;
117;mg_mpi_f90_gfortran;take3;22;mg.f90:1432-1434;Innermost;0.90833777189255;0.11000000685453;;;;;;0.90833777189255;0.11000000685453;;;;;;;;;;;;;;;;
161;mg_mpi_f90_gfortran;zran3;29;mg.f90:2194-2206,mg.f90:2494-2510,mg.f90:2520-2536;Innermost;0.86704963445663;0.10500000417233;;;;;;0.86704963445663;0.10500000417233;;;;;;;;;;;;;;;;
2;mg_mpi_f90_gfortran;norm2u3;10;mg.f90:1078-1081;Innermost;0.78447353839874;0.094999998807907;;;;;;0.78447353839874;0.094999998807907;;;;;;;;;;;;;;;;
130;mg_mpi_f90_gfortran;give3;23;mg.f90:1291-1291;Innermost;0.66060924530029;0.079999998211861;;;;;;0.66060924530029;0.079999998211861;;;;;;;;;;;;;;;;
119;mg_mpi_f90_gfortran;take3;22;mg.f90:1441-1443;Innermost;0.53674501180649;0.064999997615814;;;;;;0.53674501180649;0.064999997615814;;;;;;;;;;;;;;;;
132;mg_mpi_f90_gfortran;give3;23;mg.f90:1307-1307;Innermost;0.49545696377754;0.059999998658895;;;;;;0.49545696377754;0.059999998658895;;;;;;;;;;;;;;;;
141;mg_mpi_f90_gfortran;psinv;26;mg.f90:666-673,mg.f90:678-678,mg.f90:703-703;InBetween;13.872794151306;1.6800000667572;;;;;;0.37159270048141;0.044999998062849;;;;;;;;;;;;;;;;
138;mg_mpi_f90_gfortran;rprj3;25;mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;InBetween;6.3583641052246;0.76999998092651;;;;;;0.28901654481888;0.035000000149012;;;;;;;;;;;;;;;;
93;mg_mpi_f90_gfortran;interp;20;mg.f90:912-917,mg.f90:920-942,mg.f90:974-974;InBetween;8.1337518692017;0.98500001430511;;;;;;0.12386424094439;0.014999999664724;;;;;;;;;;;;;;;;
121;mg_mpi_f90_gfortran;take3;22;mg.f90:1475-1478;Single;0.041288077831268;0.0049999998882413;;;;;;0.041288077831268;0.0049999998882413;;;;;;;;;;;;;;;;
