group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;VSCATTERQPD,;0,;0x40587b,;Not found;0;Success;64;64;0;64;0;1;
2;LL;VADDPD,VADDPD,;64,0,;0x40580c,0x405814,;Not found;0;Success;128;128;0;128;0;2;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x405842,0x405858,;Not found;0;Success;128;128;0;128;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,64,;0x405832,0x40583a,;Not found;0;Success;128;128;0;128;0;2;
2;LL;VADDPD,VADDPD,;0,64,;0x405849,0x405850,;Not found;0;Success;128;128;0;128;0;2;
2;LL;VADDPD,VADDPD,;0,64,;0x4057f5,0x4057fc,;Not found;0;Success;128;128;0;128;0;2;
2;LL;VADDPD,VADDPD,;64,0,;0x405860,0x405868,;Not found;0;Success;128;128;0;128;0;2;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x4057ee,0x405804,;Not found;0;Success;128;128;0;128;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,64,;0x4057df,0x4057e6,;Not found;0;Success;128;128;0;128;0;2;
1;S;VSCATTERQPD,;0,;0x405827,;Not found;0;Success;64;64;0;64;0;1;
