group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVUPD,;0,;0x8710,;Success;64;Success;64;64;0;64;64;1;
1;L;VADDPD,;0,;0x8759,;Success;64;Success;64;64;0;64;64;1;
1;L;VADDPD,;0,;0x874d,;Success;64;Success;64;64;0;64;64;1;
1;L;VMOVUPD,;0,;0x8741,;Success;64;Success;64;64;0;64;64;1;
1;L;VADDPD,;0,;0x872a,;Success;64;Success;64;64;0;64;64;1;
1;L;VADDPD,;0,;0x8723,;Success;64;Success;64;64;0;64;64;1;
1;S;VMOVUPD,;8,;0x876c,;Success;64;Success;64;64;0;64;64;1;
1;S;VMOVUPD,;8,;0x8736,;Success;64;Success;64;64;0;64;64;1;
5;LLLLL;MOV,MOV,MOV,MOV,MOV,;56,120,104,112,64,;0x8717,0x8731,0x8748,0x8754,0x8760,;Success;0;Success;40;40;0;72;0;1;
1;L;VADDPD,;0,;0x871c,;Success;64;Success;64;64;0;64;64;1;
1;L;VADDPD,;0,;0x8765,;Success;64;Success;64;64;0;64;64;1;
