group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x401224,0x40126b,0x4012c6,0x401338,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x40121d,0x40124e,0x4012b0,0x40130c,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x401239,0x401298,0x4012ec,0x401340,;Success;256;Success;256;256;0;256;256;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x401291,0x4012dc,0x401322,0x401374,;Success;256;Success;256;256;0;256;256;4;
1;L;CMP,;-88,;0x40138b,;Success;0;Success;8;8;0;8;0;1;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x4012a8,0x401304,0x401330,0x40137c,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x40122b,0x40125d,0x4012b8,0x401314,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,64,128,192,;0x401240,0x401281,0x4012e4,0x401358,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x401247,0x4012a0,0x4012fc,0x401350,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x401232,0x401273,0x4012ce,0x401348,;Success;256;Success;256;256;0;256;256;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,64,128,192,;0x401256,0x401289,0x4012f4,0x401360,;Success;256;Success;256;256;0;256;256;4;
