function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
11;mg_omp_cpp_aocc;resid(void*, void*, void*, int, int, int, double*, int);mg.cpp:850-850,mg.cpp:869-884,mg.cpp:894-915;48.556255340576;9.1601419448853;4.6749997138977;5.3287496566772;5.5749998092651;8.6655941009521;0.3123959004879;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL5residPvS_S_iiiPdi;;;;;;;;;;
19;mg_omp_cpp_aocc;psinv(void*, void*, int, int, int, double*, int);mg.cpp:783-783,mg.cpp:799-828;20.422557830811;3.8527176380157;2.1049997806549;2.2412497997284;2.309999704361;3.8704171180725;0.062435712665319;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL5psinvPvS_iiiPdi;;;;;;;;;;
20;mg_omp_cpp_aocc;interp(void*, int, int, int, void*, int, int, int, int);mg.cpp:577-577,mg.cpp:592-627,mg.cpp:633-637;9.3342380523682;1.7609047889709;0.88999998569489;1.0243750810623;1.0800000429153;1.6343350410461;0.062703244388103;7.2897037739494e-08;1.3752033289904e-08;6.3999998189956e-08;6.4000005295384e-08;6.4000005295384e-08;1.1434180891001e-07;5.3711981253489e-15;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL6interpPviiiS_iiii;;;;;;;;;;
12;mg_omp_cpp_aocc;mg3P(double*, double*, double*, double*, double*, int, int, int, int);mg.cpp:644-644,mg.cpp:653-655,mg.cpp:664-667,mg.cpp:674-675,mg.cpp:681-681,mg.cpp:687-695,mg.cpp:837-839,mg.cpp:943-957,mg.cpp:963-1004,mg.cpp:1073-1087;7.6200184822083;1.437517285347;0.81999999284744;0.83625000715256;0.85499995946884;1.5289140939713;0.013296075165272;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL4mg3PPdS_S_S_S_iiii;;;;;;;;;;
9;mg_omp_cpp_aocc;zran3(void*, int, int, int, int, int, int);mg.cpp:479-479,mg.cpp:501-501,mg.cpp:763-773,mg.cpp:1117-1120,mg.cpp:1135-1156,mg.cpp:1165-1177,mg.cpp:1184-1184,mg.cpp:1202-1209,mg.cpp:1217-1222,mg.cpp:1233-1248;5.8716287612915;1.107683300972;5.1550006866455;5.1550006866455;5.1550006866455;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0,0";_ZL5zran3Pviiiiii;;;;;;;;;;
25;mg_omp_cpp_aocc;vranlc(int, double*, double, double*);c_randdp.cpp:148-148,c_randdp.cpp:155-155,c_randdp.cpp:163-175;3.217720746994;0.60702329874039;2.8250000476837;2.8250000476837;2.8250000476837;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0,0";_Z6vranlciPddS_;;;;;;;;;;
3868;libc.so.6;__memset_avx512_unaligned_erms;;1.6914389133453;0.31909012794495;0.15000000596046;0.18562500178814;0.34500002861023;0.15059113502502;0.065051503479481;1.6914389133453;0.31909012794495;1.4849998950958;1.4849998950958;1.4850000143051;2.6530871391296;6.3720044352067e-08;8;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;;;;;;;;;
16;mg_omp_cpp_aocc;comm3(void*, int, int, int, int);mg.cpp:529-529,mg.cpp:538-568;0.93968838453293;0.17727230489254;0.069999992847443;0.10312499850988;0.17000000178814;0.14433278143406;0.031728480011225;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL5comm3Pviiii;;;;;;;;;;
10;mg_omp_cpp_aocc;norm2u3(void*, int, int, int, double*, double*, int, int, int);mg.cpp:706-706,mg.cpp:720-749;0.68910479545593;0.12999968230724;0.054999999701977;0.075625002384186;0.1950000077486;0.15660931169987;0.048287644982338;0;0;0;0;0;0;0;8;"100,0,0,0,0,0,0,0,0,0,0";_ZL7norm2u3PviiiPdS0_iii;;;;;;;;;;
-1;kernel;_raw_spin_unlock_irqrestore;;0.2733638882637;0.051570124924183;0.0049999998882413;0.030000001192093;0.1000000089407;0.15824231505394;0.030237160623074;0.2733638882637;0.051570124924183;0.23999999463558;0.23999999463558;0.24000000953674;0.42878177762032;9.7550998390261e-09;8;"0,0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;;;;;;;;;;
-1;kernel;clear_page_erms;;0.25058355927467;0.047272611409426;0.010000000707805;0.027499999850988;0.075000002980232;0.095779530704021;0.020354010164738;0.25058355927467;0.047272611409426;0.21999999880791;0.21999999880791;0.22000001370907;0.39305001497269;9.7550998390261e-09;8;"0,0,0,0,0,100,0,0,0,0,0";clear_page_erms;;;;;;;;;;
-1;kernel;do_user_addr_fault;;0.23349831998348;0.044049479067326;0.0099999997764826;0.025624999776483;0.090000003576279;0.13164839148521;0.027049889788032;0.23349831998348;0.044049479067326;0.20499999821186;0.20499999821186;0.20500001311302;0.36625111103058;7.9650055440084e-09;8;"0,0,0,0,0,100,0,0,0,0,0";do_user_addr_fault;;;;;;;;;;
