Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;15.740022659302;189993;80584997696;1360000000;0;57768;0;15000000;0;499484;83390077952;57784;16678.0155904;35000000;16.309492111206;0;0;1395000000;0;
cycles;fedora;_ALL;_ALL;0;0;15.740022659302;189993;80584997696;1360000000;0;57768;0;15000000;0;499484;83390077952;57784;16678.0155904;35000000;16.309492111206;0;0;1395000000;0;
cycles;fedora;560891;_ALL;0;0;15.740022659302;189993;80584997696;1360000000;0;57768;0;15000000;0;499484;83390077952;57784;16678.0155904;35000000;16.309492111206;0;0;1395000000;0;
cycles;fedora;560891;560917;15.620323181152;0;9.6300096511841;871080;9374998848;125000000;0;57768;0;0;8.4449052810669;499129;9630009344;57784;1926.0018688;5000000;15.62804889679;0;0;125000000;0;
cycles;fedora;560891;560918;15.621238708496;0;9.7050104141235;871152;9439999616;120000000;0;57768;0;10000000;8.4446754455566;499179;9705010176;57784;1941.0020352;0;15.62802696228;0;0;135000000;0;
cycles;fedora;560891;560919;15.622161865234;0;9.685004234314;871207;9384999680;135000000;0;57768;0;0;8.4471998214722;499229;9685004288;57784;1937.0008576;5000000;15.628022193909;0;0;160000000;0;
cycles;fedora;560891;560916;15.619289398193;0;9.7050104141235;871029;9360000000;170000000;0;57768;0;0;8.7213687896729;499065;9705010176;57784;1941.0020352;5000000;15.628035545349;0;0;170000000;0;
cycles;fedora;560891;560920;15.62015247345;0;9.5600051879883;871260;9284999232;115000000;0;57768;0;5000000;5.5496134757996;499275;9560005632;57784;1912.0011264;5000000;15.628015518188;0;0;150000000;0;
cycles;fedora;560891;560891;15.624647140503;0;15.740022659302;189993;14910000512;480000000;0;57768;0;0;14.88308429718;499484;15740022784;57784;3148.0045568;10000000;16.309492111206;0;0;340000000;0;
cycles;fedora;560891;560922;15.61711025238;0;9.6950073242188;871386;9425000448;105000000;0;57768;0;0;8.4457817077637;499383;9695007744;57784;1939.0015488;0;15.627996444702;0;0;165000000;0;
cycles;fedora;560891;560921;15.621035575867;0;9.6700077056885;871305;9404999360;110000000;0;57768;0;0;8.5490255355835;499328;9670007808;57784;1934.0015616;5000000;15.628023147583;0;0;150000000;0;
