Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;10.990012168884;753443;82704996736;1700000000;0;58206;0;15000000;0;84809;86805096448;58218;17361.0192896;40000000;11.331365585327;0;0;2345000000;0;
cycles;fedora;_ALL;_ALL;0;0;10.990012168884;753443;82704996736;1700000000;0;58206;0;15000000;0;84809;86805096448;58218;17361.0192896;40000000;11.331365585327;0;0;2345000000;0;
cycles;fedora;565917;_ALL;0;0;10.990012168884;753443;82704996736;1700000000;0;58206;0;15000000;0;84809;86805096448;58218;17361.0192896;40000000;11.331365585327;0;0;2345000000;0;
cycles;fedora;565917;565932;11.075012207031;0;10.990012168884;759059;10519999168;195000000;0;58206;0;0;11.075012207031;84346;10990012416;58218;2198.0024832;0;11.325286865234;0;0;275000000;0;
cycles;fedora;565917;565933;11.076146125793;0;10.880014419556;759126;10405000256;175000000;0;58206;0;0;11.076146125793;84410;10880014336;58218;2176.0028672;0;11.325284004211;0;0;300000000;0;
cycles;fedora;565917;565936;11.077818870544;0;10.99001121521;760655;10519999040;170000000;0;58206;0;0;11.077818870544;84582;10990011392;58218;2198.0022784;0;11.323926925659;0;0;300000000;0;
cycles;fedora;565917;565935;11.078488349915;0;10.795006752014;760319;10319999680;160000000;0;58206;0;0;8.7355794906616;84531;10795006976;58218;2159.0013952;15000000;11.32421207428;0;0;300000000;0;
cycles;fedora;565917;565917;11.318140983582;0;10.955018997192;753443;10199998720;420000000;0;58206;0;0;1.3280296325684;84809;10955019264;58218;2191.0038528;20000000;11.331365585327;0;0;315000000;0;
cycles;fedora;565917;565938;11.075430870056;0;10.62501335144;760783;10130000000;190000000;0;58206;0;5000000;5.5897197723389;84703;10625013760;58218;2125.002752;0;11.323920249939;0;0;300000000;0;
cycles;fedora;565917;565937;11.077718734741;0;10.940008163452;760728;10484999424;185000000;0;58206;0;0;11.077718734741;84648;10940008448;58218;2188.0016896;0;11.323920249939;0;0;270000000;0;
cycles;fedora;565917;565934;11.075974464417;0;10.630009651184;759909;10125000448;205000000;0;58206;0;10000000;5.5916934013367;84463;10630009856;58218;2126.0019712;5000000;11.324554443359;0;0;285000000;0;
