loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
8;mg_omp_f90_gfortran;resid_._omp_fn.0;10;mg.f90:601-603;Innermost;30.464525222778;3.2597074508667;3.1099991798401;3.1968746185303;3.3899998664856;0.95675206184387;0.084470599889755;30.464525222778;3.2597074508667;3.1099991798401;3.1968746185303;3.3899998664856;0.95675206184387;0.084470599889755;8;;;;;;;;;;
7;mg_omp_f90_gfortran;resid_._omp_fn.0;10;mg.f90:612-612;Innermost;19.946371078491;2.1342639923096;1.7150001525879;2.0931248664856;2.2999997138977;1.6103783845901;0.17056488990784;19.946371078491;2.1342639923096;1.7150001525879;2.0931248664856;2.2999997138977;1.6103783845901;0.17056488990784;8;;;;;;;;;;
18;mg_omp_f90_gfortran;psinv_._omp_fn.0;14;mg.f90:534-536;Innermost;12.727798461914;1.3618758916855;1.2750002145767;1.3356250524521;1.4099999666214;0.46163755655289;0.049384534358978;12.727798461914;1.3618758916855;1.2750002145767;1.3356250524521;1.4099999666214;0.46163755655289;0.049384534358978;8;;;;;;;;;;
17;mg_omp_f90_gfortran;psinv_._omp_fn.0;14;mg.f90:546-546;Innermost;7.8618130683899;0.84121489524841;0.72499996423721;0.82500004768372;0.88499999046326;0.51238477230072;0.049785267561674;7.8618130683899;0.84121489524841;0.72499996423721;0.82500004768372;0.88499999046326;0.51238477230072;0.049785267561674;8;;;;;;;;;;
51;mg_omp_f90_gfortran;rprj3_._omp_fn.0;18;mg.f90:690-692;Innermost;4.4848070144653;0.47987484931946;0.43999996781349;0.47062501311302;0.50499999523163;0.21176165342331;0.021619679406285;4.4848070144653;0.47987484931946;0.43999996781349;0.47062501311302;0.50499999523163;0.21176165342331;0.021619679406285;8;;;;;;;;;;
50;mg_omp_f90_gfortran;rprj3_._omp_fn.0;18;mg.f90:698-705;Innermost;2.7516348361969;0.29442524909973;0.24499998986721;0.28874999284744;0.34999999403954;0.36838838458061;0.037961442023516;2.7516348361969;0.29442524909973;0.24499998986721;0.28874999284744;0.34999999403954;0.36838838458061;0.037961442023516;8;;;;;;;;;;
24;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:773-774;Innermost;2.1917781829834;0.23452052474022;0.18999999761581;0.22999998927116;0.25999999046326;0.22702695429325;0.024494893848896;2.1917781829834;0.23452052474022;0.18999999761581;0.22999998927116;0.25999999046326;0.22702695429325;0.024494893848896;8;;;;;;;;;;
25;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:768-769;Innermost;2.0667040348053;0.22113756835461;0.16000001132488;0.21687500178814;0.25999999046326;0.35339844226837;0.03712310269475;2.0667040348053;0.22113756835461;0.16000001132488;0.21687500178814;0.25999999046326;0.35339844226837;0.03712310269475;8;;;;;;;;;;
22;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:783-784;Innermost;1.9058940410614;0.20393088459969;0.18000000715256;0.20000000298023;0.23000001907349;0.14725881814957;0.015811389312148;1.9058940410614;0.20393088459969;0.18000000715256;0.20000000298023;0.23000001907349;0.14725881814957;0.015811389312148;8;;;;;;;;;;
23;mg_omp_f90_gfortran;interp_._omp_fn.0;15;mg.f90:778-779;Innermost;1.8284672498703;0.19564621150494;0.14000000059605;0.19187501072884;0.26500001549721;0.40192183852196;0.041052017360926;1.8284672498703;0.19564621150494;0.14000000059605;0.19187501072884;0.26500001549721;0.40192183852196;0.041052017360926;8;;;;;;;;;;
