ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 8;mg_omp_f90_gfortran;mg.f90:601-603;resid_._omp_fn.0;Innermost;3.4100003242493;3.3520398139954;30.71036529541;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 7;mg_omp_f90_gfortran;mg.f90:612-612;resid_._omp_fn.0;Innermost;2.3149995803833;2.1618456840515;19.806171417236;1.00;1.00;1.00;1.75;1;100.00;100.00;14.00;14.00;14.00;14.00;8.00
Loop 18;mg_omp_f90_gfortran;mg.f90:534-536;psinv_._omp_fn.0;Innermost;1.4549998044968;1.3615870475769;12.474445343018;1.00;1.00;1.00;1.00;1;100.00;100.00;24.00;24.00;24.00;24.00;24.00
Loop 17;mg_omp_f90_gfortran;mg.f90:546-546;psinv_._omp_fn.0;Innermost;0.92500007152557;0.89137119054794;8.1664714813232;1.00;1.00;1.03;1.50;1;92.31;93.27;15.00;15.00;15.00;14.50;10.00
Loop 51;mg_omp_f90_gfortran;mg.f90:690-692;rprj3_._omp_fn.0;Innermost;0.54000002145767;0.49888756871223;4.5706558227539;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 50;mg_omp_f90_gfortran;mg.f90:698-705;rprj3_._omp_fn.0;Innermost;0.34000000357628;0.30710572004318;2.81360912323;1.00;1.00;1.00;2.00;1;100.00;100.00;24.00;24.00;24.00;24.00;12.00
Loop 22;mg_omp_f90_gfortran;mg.f90:783-784;interp_._omp_fn.0;Innermost;0.29499998688698;0.24147939682007;2.2123606204987;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 25;mg_omp_f90_gfortran;mg.f90:768-769;interp_._omp_fn.0;Innermost;0.27499997615814;0.22682498395443;2.0781013965607;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 24;mg_omp_f90_gfortran;mg.f90:773-774;interp_._omp_fn.0;Innermost;0.25;0.22427639365196;2.0547521114349;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 26;mg_omp_f90_gfortran;mg.f90:760-762;interp_._omp_fn.0;Innermost;0.26499998569489;0.19496753811836;1.7862331867218;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 23;mg_omp_f90_gfortran;mg.f90:778-779;interp_._omp_fn.0;Innermost;0.2049999833107;0.18413601815701;1.6869980096817;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 16;mg_omp_f90_gfortran;mg.f90:527-527,mg.f90:534-536,mg.f90:546-546;psinv_._omp_fn.0;Outermost;0.094999998807907;0.084740787744522;0.77636933326721;1.25;1.00;1.69;1.63;14066;26.74;28.83;114.00;91.00;114.00;67.44;70.00
Loop 75;mg_omp_f90_gfortran;randi8.f90:59-61;vranlc;Single;0.08500000089407;0.080280750989914;0.73550778627396;1.00;1.29;8.00;1.00;1;0.00;12.50;32.00;32.00;24.84;4.00;32.00
Loop 45;mg_omp_f90_gfortran;mg.f90:998-1000;comm3_._omp_fn.0;Innermost;0.11499999463558;0.077732160687447;0.71215832233429;1.00;1.00;5.39;1.38;1;0.00;12.50;11.00;11.00;11.00;2.04;8.00
Loop 3;mg_omp_f90_gfortran;mg.f90:933-935;norm2u3_._omp_fn.0;Innermost;0.079999998211861;0.077732160687447;0.71215832233429;1.00;1.00;1.00;1.00;1;100.00;100.00;32.00;32.00;32.00;32.00;32.00
Loop 6;mg_omp_f90_gfortran;mg.f90:594-594,mg.f90:601-603,mg.f90:612-612;resid_._omp_fn.0;Outermost;0.10999999940395;0.071360662579536;0.65378469228745;1.56;1.00;1.43;2.11;7010;31.03;33.97;92.67;59.33;92.67;64.90;44.00
Loop 72;mg_omp_f90_gfortran;mg.f90:1122-1135;zran3_._omp_fn.1;Innermost;0.045000001788139;0.040777523070574;0.37359124422073;2.74;1.00;10.30;4.93;256;0.00;9.64;24.67;9.00;24.67;2.40;5.00
Loop 49;mg_omp_f90_gfortran;mg.f90:684-692,mg.f90:695-700,mg.f90:705-705;rprj3_._omp_fn.0;Outermost;0.054999995976686;0.036954630166292;0.33856707811356;2.42;1.76;4.27;3.14;680;18.49;18.70;160.00;66.00;91.08;37.46;51.00
Loop 41;mg_omp_f90_gfortran;mg.f90:1014-1015;comm3_._omp_fn.0;Innermost;0.029999997466803;0.016565868631005;0.15177144110203;1.00;1.00;1.00;16.33;1;100.00;100.00;16.33;16.33;16.33;16.33;1.00
Loop 44;mg_omp_f90_gfortran;mg.f90:1006-1007;comm3_._omp_fn.0;Innermost;0.029999999329448;0.012742976658046;0.11674726754427;1.00;1.00;1.00;16.33;1;100.00;100.00;16.33;16.33;16.33;16.33;1.00
Loop 21;mg_omp_f90_gfortran;mg.f90:753-753,mg.f90:760-762,mg.f90:768-769,mg.f90:773-774,mg.f90:778-779,mg.f90:783-784;interp_._omp_fn.0;Outermost;0.019999999552965;0.010831530205905;0.0992351770401;1.46;1.03;1.24;3.61;1000012;66.03;58.39;162.50;111.33;157.91;130.88;45.00
Loop 13;mg_omp_f90_gfortran;mg.f90:1400-1404;zero3_._omp_fn.0;Single;0.0099999997764826;0.004460041411221;0.040861543267965;1.00;1.00;10.67;6.40;16;0.00;6.25;16.00;16.00;16.00;1.50;2.50
Loop 71;mg_omp_f90_gfortran;mg.f90:1107-1107,mg.f90:1122-1135;zran3_._omp_fn.1;Outermost;0.0049999998882413;0.0012742975959554;0.011674726381898;2.17;1.00;11.65;4.17;21844;1.59;9.52;25.00;11.50;25.00;2.15;6.00
