ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 148;mg_mpi_f90_gfortran;mg.f90:739-741;resid;Innermost;2.4500000476837;2.1237075328827;19.412273406982;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 147;mg_mpi_f90_gfortran;mg.f90:753-753;resid;Innermost;1.8649998903275;1.6781615018845;15.339650154114;1.00;1.00;1.00;1.25;1;100.00;100.00;20.00;20.00;20.00;20.00;16.00
Loop 144;mg_mpi_f90_gfortran;mg.f90:669-671;psinv;Innermost;0.97000002861023;0.8697863817215;7.9504976272583;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 143;mg_mpi_f90_gfortran;mg.f90:678-678;psinv;Innermost;0.70999997854233;0.61662083864212;5.6363754272461;1.00;1.00;1.00;1.13;1;100.00;100.00;22.67;22.67;22.67;22.67;20.00
Loop 140;mg_mpi_f90_gfortran;mg.f90:835-837;rprj3;Innermost;0.52999997138977;0.45306596159935;4.1413617134094;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 139;mg_mpi_f90_gfortran;mg.f90:844-851;rprj3;Innermost;0.25500002503395;0.20992684364319;1.9188882112503;1.00;1.00;1.00;2.00;1;96.00;96.50;24.00;24.00;24.00;24.00;12.00
Loop 96;mg_mpi_f90_gfortran;mg.f90:928-930;interp;Innermost;0.22499999403954;0.20178040862083;1.8444237709045;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 94;mg_mpi_f90_gfortran;mg.f90:940-942;interp;Innermost;0.25999999046326;0.20178040862083;1.8444237709045;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 95;mg_mpi_f90_gfortran;mg.f90:934-936;interp;Innermost;0.24500000476837;0.17358127236366;1.5866626501083;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 97;mg_mpi_f90_gfortran;mg.f90:922-924;interp;Innermost;0.26500001549721;0.16668817400932;1.523654460907;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 98;mg_mpi_f90_gfortran;mg.f90:915-917;interp;Innermost;0.18999999761581;0.13911567628384;1.2716213464737;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 145;mg_mpi_f90_gfortran;mg.f90:736-743,mg.f90:753-753,mg.f90:773-773;resid;InBetween;0.1799999922514;0.095877021551132;0.87638771533966;1.69;1.00;1.20;1.95;4026;61.50;50.53;87.67;52.00;87.67;73.06;45.00
Loop 192;mg_mpi_f90_gfortran;randi8.f90:59-61;vranlc;Single;0.079999998211861;0.073317728936672;0.67017883062363;1.00;1.29;8.00;1.00;1;0.00;12.50;32.00;32.00;24.84;4.00;32.00
Loop 132;mg_mpi_f90_gfortran;mg.f90:1307-1307;give3;Innermost;0.094999998807907;0.072691075503826;0.66445076465607;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 2;mg_mpi_f90_gfortran;mg.f90:1078-1081;norm2u3;Innermost;0.079999998211861;0.070184484124184;0.64153867959976;1.01;1.56;5.36;2.78;256;28.57;16.07;12.50;12.33;8.00;2.33;4.50
Loop 117;mg_mpi_f90_gfortran;mg.f90:1432-1434;take3;Innermost;0.10499999672174;0.0595314912498;0.54416233301163;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 130;mg_mpi_f90_gfortran;mg.f90:1291-1291;give3;Innermost;0.094999991357327;0.058278195559978;0.53270626068115;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 141;mg_mpi_f90_gfortran;mg.f90:666-673,mg.f90:678-678,mg.f90:703-703;psinv;InBetween;0.075000002980232;0.055144965648651;0.50406616926193;1.58;1.00;1.21;1.75;4026;60.00;49.66;86.67;55.00;86.67;71.35;49.50
Loop 119;mg_mpi_f90_gfortran;mg.f90:1441-1443;take3;Innermost;0.075000002980232;0.051385078579187;0.46969801187515;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 138;mg_mpi_f90_gfortran;mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;rprj3;InBetween;0.064999997615814;0.044491954147816;0.40668970346451;2.16;1.61;3.26;2.57;260;25.69;21.64;115.83;53.67;71.96;35.52;45.00
Loop 161;mg_mpi_f90_gfortran;mg.f90:2194-2206,mg.f90:2494-2510,mg.f90:2520-2536;zran3;Innermost;0.045000001788139;0.043238662183285;0.39523369073868;1.07;1.00;7.07;5.09;121;7.92;10.49;56.00;52.17;56.00;7.92;11.00
Loop 93;mg_mpi_f90_gfortran;mg.f90:912-917,mg.f90:920-942,mg.f90:974-974;interp;InBetween;0.03999999910593;0.020052712410688;0.18329676985741;1.42;1.03;1.25;3.49;1000012;68.91;58.76;150.17;106.00;145.77;120.53;43.00
Loop 163;mg_mpi_f90_gfortran;mg.f90:2165-2168;zran3;Innermost;0.0099999997764826;0.0037598835770041;0.034368146210909;2.94;1.00;5.73;4.42;1;0.00;12.50;8.83;3.00;8.83;1.54;2.00
Loop 129;mg_mpi_f90_gfortran;mg.f90:1288-1291;give3;Outermost;0.0049999998882413;0.001253294525668;0.011456048116088;1.81;1.00;6.69;2.64;31;20.00;14.64;14.50;8.00;14.50;2.17;5.50
Loop 121;mg_mpi_f90_gfortran;mg.f90:1475-1478;take3;Single;0.0049999998882413;0.001253294525668;0.011456048116088;1.00;1.00;6.65;13.50;1;0.00;8.52;9.00;9.00;9.00;1.35;0.67
Loop 150;mg_mpi_f90_gfortran;mg.f90:2564-2566;mg3p;Innermost;0.0049999998882413;0.001253294525668;0.011456048116088;1.00;1.00;16.00;7.17;1;0.00;9.56;7.17;7.17;7.17;0.45;1.00
Loop 146;mg_mpi_f90_gfortran;mg.f90:708-708,mg.f90:735-736;resid;Outermost;0.0050000003539026;0.001253294525668;0.011456048116088;9.78;1.00;6.40;22.00;4026;0.00;11.76;14.67;1.50;14.67;2.29;0.67
Loop 162;mg_mpi_f90_gfortran;mg.f90:2163-2170,mg.f90:2306-2306;zran3;Outermost;0.0049999998882413;0.00062664726283401;0.005728024058044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 124;mg_mpi_f90_gfortran;mg.f90:1462-1465;take3;Single;0.0049999998882413;0.00062664726283401;0.005728024058044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
