ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 37;mg_omp_cpp_aocc;mg.cpp:895-897;resid(void*, void*, void*, int, int, int, double*, int);Innermost;3.1700003147125;4.6303811073303;25.483646392822;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 38;mg_omp_cpp_aocc;mg.cpp:900-905;resid(void*, void*, void*, int, int, int, double*, int);Innermost;2.0700001716614;3.0016429424286;16.519765853882;1.00;1.00;1.00;1.58;1;100.00;100.00;6.33;6.33;6.33;6.33;4.00
Loop 23;mg_omp_cpp_aocc;mg.cpp:479-479,mg.cpp:501-501,mg.cpp:1175-1177,mg.cpp:1184-1184;zran3(void*, int, int, int, int, int, int);Innermost;5.1499996185303;2.0115106105804;11.070498466492;7.08;1.00;10.33;29.45;121;14.88;9.49;427.00;60.33;427.00;41.33;14.50
Loop 77;mg_omp_cpp_aocc;mg.cpp:808-812;psinv(void*, void*, int, int, int, double*, int);Innermost;1.3600000143051;1.9724525213242;10.855539321899;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 78;mg_omp_cpp_aocc;mg.cpp:814-819;psinv(void*, void*, int, int, int, double*, int);Innermost;0.88499999046326;1.2713531255722;6.996985912323;1.00;1.00;1.04;1.67;1;93.75;94.53;6.67;6.67;6.67;6.42;4.00
Loop 93;mg_omp_cpp_aocc;c_randdp.cpp:155-155,c_randdp.cpp:163-172;vranlc(int, double*, double, double*);Single;2.7999999523163;1.0936369895935;6.0189123153687;1.00;3.13;8.00;1.00;1;0.00;12.50;37.00;37.00;11.82;4.63;37.00
Loop 57;mg_omp_cpp_aocc;mg.cpp:969-973;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.56000000238419;0.80460429191589;4.4281997680664;1.02;1.00;1.00;2.07;1;96.15;96.63;20.67;20.33;20.67;20.67;10.00
Loop 54;mg_omp_cpp_aocc;mg.cpp:975-985;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.35500001907349;0.47846609354019;2.6332738399506;1.00;1.03;4.00;1.00;1;0.00;12.50;5.50;5.50;5.33;1.38;5.50
Loop 88;mg_omp_cpp_aocc;mg.cpp:624-627;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.31999999284744;0.45698401331902;2.5150456428528;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 86;mg_omp_cpp_aocc;mg.cpp:614-617;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.24500000476837;0.35738494992256;1.9668946266174;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 83;mg_omp_cpp_aocc;mg.cpp:603-606;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.23999999463558;0.3280910551548;1.8056735992432;1.00;1.00;1.00;1.00;1;100.00;100.00;4.00;4.00;4.00;4.00;4.00
Loop 32;mg_omp_cpp_aocc;mg.cpp:735-738;norm2u3(void*, int, int, int, double*, double*, int, int, int);Innermost;0.26500001549721;0.24216246604919;1.332759141922;1.00;2.40;8.00;1.00;1;16.67;14.58;4.00;4.00;1.67;0.50;4.00
Loop 87;mg_omp_cpp_aocc;mg.cpp:619-622;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.17499999701977;0.20505695044994;1.1285461187363;1.13;1.50;4.50;1.50;1;50.00;18.75;1.50;1.33;1.00;0.33;1.00
Loop 85;mg_omp_cpp_aocc;mg.cpp:611-612;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.12999999523163;0.19724524021149;1.0855538845062;1.00;1.00;1.00;2.00;1;100.00;100.00;4.00;4.00;4.00;4.00;2.00
Loop 69;mg_omp_cpp_aocc;mg.cpp:545-547;comm3(void*, int, int, int, int);Innermost;0.079999998211861;0.11131662130356;0.61263930797577;1.00;1.00;5.33;1.33;1;0.00;12.50;1.33;1.33;1.33;0.25;1.00
