function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
26;mg_mpi_f90_gfortran;resid;;35.471271514893;6;0;0;0;0;0;35.471271514893;6;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";resid_;;;;;;;;;;
27;mg_mpi_f90_gfortran;psinv;;15.962059020996;2.6999974250793;0;0;0;0;0;15.962059020996;2.6999974250793;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";psinv_;;;;;;;;;;
21;mg_mpi_f90_gfortran;interp;;12.710534095764;2.1499991416931;0;0;0;0;0;12.710534095764;2.1499991416931;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";interp_;;;;;;;;;;
65;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;11.084748268127;1.8749958276749;0;0;0;0;0;11.084748268127;1.8749958276749;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_btl_vader_poll_handle_frag;;;;;;;;;;
28;mg_mpi_f90_gfortran;rprj3;;6.8577766418457;1.1599994897842;0;0;0;0;0;6.8577766418457;1.1599994897842;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";rprj3_;;;;;;;;;;
3611;libc.so.6;__memset_avx2_unaligned_erms;;5.2615723609924;0.89000004529953;0;0;0;0;0;5.2615723609924;0.89000004529953;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx2_unaligned_erms;;;;;;;;;;
1004;libopen-pal.so.40.30.3;mca_mpool_base_tree_node_compare;;2.4238705635071;0.41000002622604;0;0;0;0;0;2.4238705635071;0.41000002622604;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_mpool_base_tree_node_compare;;;;;;;;;;
-1;kernel;unknown_kernel_region;;2.246514081955;0.38000002503395;0;0;0;0;0;2.246514081955;0.38000002503395;0;0;0;0;0;;"0,18.421052631579,0,0,0,81.578947368421,0,0,0,0,0";unknown kernel region;;;;;;;;;;
325;libopen-pal.so.40.30.3;opal_progress;;2.1873953342438;0.37000000476837;0;0;0;0;0;2.1873953342438;0.37000000476837;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_progress;;;;;;;;;;
23;mg_mpi_f90_gfortran;take3;;1.3006135225296;0.22000002861023;0;0;0;0;0;1.3006135225296;0.22000002861023;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";take3_;;;;;;;;;;
24;mg_mpi_f90_gfortran;give3;;1.0050194263458;0.17000000178814;0;0;0;0;0;1.0050194263458;0.17000000178814;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";give3_;;;;;;;;;;
3604;libc.so.6;__memcpy_avx_unaligned_erms;;0.97546005249023;0.16500002145767;0;0;0;0;0;0.97546005249023;0.16500002145767;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__memcpy_avx_unaligned_erms;;;;;;;;;;
11;mg_mpi_f90_gfortran;norm2u3;;0.91634130477905;0.15500001609325;0;0;0;0;0;0.91634130477905;0.15500001609325;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";norm2u3_;;;;;;;;;;
41;mg_mpi_f90_gfortran;vranlc;;0.47295033931732;0.080000005662441;0;0;0;0;0;0.47295033931732;0.080000005662441;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";vranlc_;;;;;;;;;;
52;mca_pml_ob1.so;.plt.sec@start;;0.29559394717216;0.050000000745058;0;0;0;0;0;0.29559394717216;0.050000000745058;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";.plt.sec@start;;;;;;;;;;
32;mg_mpi_f90_gfortran;zran3;;0.29559394717216;0.050000000745058;0;0;0;0;0;0.29559394717216;0.050000000745058;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";zran3_;;;;;;;;;;
1032;libopen-pal.so.40.30.3;opal_timer_base_get_freq;;0.20691576600075;0.035000000149012;0;0;0;0;0;0.20691576600075;0.035000000149012;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_timer_base_get_freq;;;;;;;;;;
103;mca_pml_ob1.so;mca_pml_ob1_send;;0.088678188621998;0.015000001527369;0;0;0;0;0;0.088678188621998;0.015000001527369;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_pml_ob1_send;;;;;;;;;;
529;libopen-pal.so.40.30.3;opal_convertor_unpack;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_convertor_unpack;;;;;;;;;;
331;libevent_core-2.1.so.7.0.1;event_base_loop;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";event_base_loop;;;;;;;;;;
97;libz.so.1.3;gzgets;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";gzgets;;;;;;;;;;
96;mca_pml_ob1.so;mca_pml_ob1_irecv;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_pml_ob1_irecv;;;;;;;;;;
74;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_pml_ob1_rdma_pipeline_btls;;;;;;;;;;
55;ld-linux-x86-64.so.2;do_lookup_x;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";do_lookup_x;;;;;;;;;;
54;mca_btl_vader.so;mca_btl_vader_alloc;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_btl_vader_alloc;;;;;;;;;;
48;libpciaccess.so.0.11.1;.text@start;;0.029559396207333;0.0050000003539026;0;0;0;0;0;0.029559396207333;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";.text@start;;;;;;;;;;
