ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 33;mg_omp_cpp_clang++;mg.cpp:1012-1016;resid(void*, void*, void*, int, int, int, double*, int);Innermost;5.3850002288818;5.0309419631958;31.016874313354;1.00;1.00;1.00;1.00;1;100.00;100.00;6.00;6.00;6.00;6.00;6.00
Loop 34;mg_omp_cpp_clang++;mg.cpp:1018-1019,mg.cpp:1029-1030;resid(void*, void*, void*, int, int, int, double*, int);Innermost;3.125;2.8854246139526;17.789283752441;1.00;1.00;1.00;1.00;1;100.00;95.83;3.50;3.50;3.50;3.50;3.50
Loop 79;mg_omp_cpp_clang++;mg.cpp:917-921;psinv(void*, void*, int, int, int, double*, int);Innermost;2.4700000286102;2.2953364849091;14.151259422302;1.00;1.00;1.00;1.00;1;100.00;100.00;6.00;6.00;6.00;6.00;6.00
Loop 80;mg_omp_cpp_clang++;mg.cpp:923-928;psinv(void*, void*, int, int, int, double*, int);Innermost;1.4450000524521;1.3031407594681;8.0341520309448;1.00;1.00;1.00;1.00;1;100.00;96.67;3.50;3.50;3.50;3.50;3.50
Loop 52;mg_omp_cpp_clang++;mg.cpp:1109-1113;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.97499996423721;0.93566071987152;5.7685556411743;1.00;1.00;1.27;1.58;1;66.67;68.06;9.50;9.50;9.50;7.50;6.00
Loop 127;mg_omp_cpp_clang++;c_randdp.cpp:155-155,c_randdp.cpp:163-172;vranlc(int, double*, double, double*);Single;3.25;0.45934996008873;2.8319942951202;1.00;1.94;4.00;1.55;1;0.00;25.00;17.00;17.00;8.75;4.25;11.00
Loop 117;mg_omp_cpp_clang++;mg.cpp:620-623;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.46999999880791;0.38938742876053;2.4006600379944;1.00;1.00;1.20;4.00;1;95.45;80.68;6.00;6.00;6.00;5.00;1.50
Loop 49;mg_omp_cpp_clang++;mg.cpp:1115-1125;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.38499999046326;0.35263949632645;2.1741006374359;1.00;1.50;4.00;1.00;1;0.00;25.00;7.50;7.50;5.00;1.88;7.50
Loop 119;mg_omp_cpp_clang++;mg.cpp:631-635;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.37999999523163;0.3455725312233;2.1305313110352;1.00;1.47;2.67;1.00;1;40.00;35.00;4.00;4.00;2.72;1.50;4.00
Loop 118;mg_omp_cpp_clang++;mg.cpp:625-629;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.35499998927116;0.34133237600327;2.1043899059296;1.00;1.47;2.67;1.00;1;40.00;35.00;4.00;4.00;2.72;1.50;4.00
