loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
125;mg_mpi_f90_gfortran;resid;24;mg.f90:739-741;Innermost;20.044666290283;3.5899994373322;;;;;;20.044666290283;3.5899994373322;;;;;;;;;;;;;;;;
124;mg_mpi_f90_gfortran;resid;24;mg.f90:753-753;Innermost;15.689559936523;2.809999704361;;;;;;15.689559936523;2.809999704361;;;;;;;;;;;;;;;;
129;mg_mpi_f90_gfortran;psinv;25;mg.f90:669-671;Innermost;9.0731439590454;1.6249998807907;;;;;;9.0731439590454;1.6249998807907;;;;;;;;;;;;;;;;
128;mg_mpi_f90_gfortran;psinv;25;mg.f90:678-678;Innermost;6.7280855178833;1.2050000429153;;;;;;6.7280855178833;1.2050000429153;;;;;;;;;;;;;;;;
133;mg_mpi_f90_gfortran;rprj3;26;mg.f90:835-837;Innermost;4.8576221466064;0.87000000476837;;;;;;4.8576221466064;0.87000000476837;;;;;;;;;;;;;;;;
84;mg_mpi_f90_gfortran;interp;19;mg.f90:928-930;Innermost;2.7638194561005;0.49500000476837;;;;;;2.7638194561005;0.49500000476837;;;;;;;;;;;;;;;;
82;mg_mpi_f90_gfortran;interp;19;mg.f90:940-942;Innermost;2.2892243862152;0.41000005602837;;;;;;2.2892243862152;0.41000005602837;;;;;;;;;;;;;;;;
86;mg_mpi_f90_gfortran;interp;19;mg.f90:915-917;Innermost;2.2613067626953;0.40500000119209;;;;;;2.2613067626953;0.40500000119209;;;;;;;;;;;;;;;;
85;mg_mpi_f90_gfortran;interp;19;mg.f90:922-924;Innermost;2.2613067626953;0.40500000119209;;;;;;2.2613067626953;0.40500000119209;;;;;;;;;;;;;;;;
83;mg_mpi_f90_gfortran;interp;19;mg.f90:934-936;Innermost;1.8704637289047;0.33500003814697;;;;;;1.8704637289047;0.33500003814697;;;;;;;;;;;;;;;;
132;mg_mpi_f90_gfortran;rprj3;26;mg.f90:844-851;Innermost;1.5633726119995;0.28000000119209;;;;;;1.5633726119995;0.28000000119209;;;;;;;;;;;;;;;;
2;mg_mpi_f90_gfortran;norm2u3;9;mg.f90:1078-1081;Innermost;0.9212731719017;0.16500000655651;;;;;;0.9212731719017;0.16500000655651;;;;;;;;;;;;;;;;
120;mg_mpi_f90_gfortran;give3;22;mg.f90:1307-1307;Innermost;0.75376898050308;0.13500000536442;;;;;;0.75376898050308;0.13500000536442;;;;;;;;;;;;;;;;
163;mg_mpi_f90_gfortran;vranlc;39;randi8.f90:59-61;Single;0.5583473443985;0.10000000149012;;;;;;0.5583473443985;0.10000000149012;;;;;;;;;;;;;;;;
106;mg_mpi_f90_gfortran;take3;21;mg.f90:1432-1434;Innermost;0.50251257419586;0.089999988675117;;;;;;0.50251257419586;0.089999988675117;;;;;;;;;;;;;;;;
118;mg_mpi_f90_gfortran;give3;22;mg.f90:1291-1291;Innermost;0.36292576789856;0.064999997615814;;;;;;0.36292576789856;0.064999997615814;;;;;;;;;;;;;;;;
146;mg_mpi_f90_gfortran;zran3;30;mg.f90:2194-2207;Innermost;0.27917367219925;0.050000000745058;;;;;;0.27917367219925;0.050000000745058;;;;;;;;;;;;;;;;
108;mg_mpi_f90_gfortran;take3;21;mg.f90:1441-1443;Innermost;0.27917367219925;0.050000000745058;;;;;;0.27917367219925;0.050000000745058;;;;;;;;;;;;;;;;
122;mg_mpi_f90_gfortran;resid;24;mg.f90:735-743,mg.f90:753-753;InBetween;35.957565307617;6.4399991035461;;;;;;0.2233389467001;0.040000002831221;;;;;;;;;;;;;;;;
80;mg_mpi_f90_gfortran;interp;19;mg.f90:912-917,mg.f90:920-942;InBetween;11.529872894287;2.0650000572205;;;;;;0.083752103149891;0.015000000596046;;;;;;;;;;;;;;;;
126;mg_mpi_f90_gfortran;psinv;25;mg.f90:665-673,mg.f90:678-678;InBetween;15.857063293457;2.8399996757507;;;;;;0.055834736675024;0.010000000707805;;;;;;;;;;;;;;;;
111;mg_mpi_f90_gfortran;take3;21;mg.f90:1453-1456;Single;0.027917368337512;0.0050000003539026;;;;;;0.027917368337512;0.0050000003539026;;;;;;;;;;;;;;;;
123;mg_mpi_f90_gfortran;resid;24;mg.f90:735-737;Outermost;35.985481262207;6.4449992179871;;;;;;0.027917368337512;0.0050000003539026;;;;;;;;;;;;;;;;
4;mg_mpi_f90_gfortran;zero3;10;mg.f90:2551-2551,mg.f90:2563-2566;Outermost;0.027917368337512;0.0050000003539026;;;;;;0.027917368337512;0.0050000003539026;;;;;;;;;;;;;;;;
