ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 33;mg_omp_cpp_clang++;mg.cpp:1012-1016;resid(void*, void*, void*, int, int, int, double*, int);Innermost;5.085000038147;4.318690776825;23.088443756104;1.00;1.00;1.00;1.00;1;100.00;100.00;6.00;6.00;6.00;6.00;6.00
Loop 34;mg_omp_cpp_clang++;mg.cpp:1018-1019,mg.cpp:1029-1030;resid(void*, void*, void*, int, int, int, double*, int);Innermost;4.0250000953674;3.3439953327179;17.877559661865;1.00;1.00;1.00;1.00;1;100.00;95.83;3.50;3.50;3.50;3.50;3.50
Loop 79;mg_omp_cpp_clang++;mg.cpp:917-921;psinv(void*, void*, int, int, int, double*, int);Innermost;2.2900002002716;1.8577754497528;9.931978225708;1.00;1.00;1.00;1.00;1;100.00;100.00;6.00;6.00;6.00;6.00;6.00
Loop 127;mg_omp_cpp_clang++;c_randdp.cpp:155-155,c_randdp.cpp:163-172;vranlc(int, double*, double, double*);Single;3.2650008201599;1.6618187427521;8.8843612670898;1.00;1.94;4.00;1.55;1;0.00;25.00;17.00;17.00;8.75;4.25;11.00
Loop 80;mg_omp_cpp_clang++;mg.cpp:923-928;psinv(void*, void*, int, int, int, double*, int);Innermost;1.8200000524521;1.4505915641785;7.7551054954529;1.00;1.00;1.00;1.00;1;100.00;96.67;3.50;3.50;3.50;3.50;3.50
Loop 18;mg_omp_cpp_clang++;mg.cpp:479-479,mg.cpp:501-501,mg.cpp:1315-1317,mg.cpp:1324-1324;zran3(void*, int, int, int, int, int, int);Innermost;2.5499997138977;1.2978976964951;6.9387788772583;2.73;1.00;2.27;14.52;121;21.00;27.06;152.50;55.83;152.50;67.18;10.50
Loop 52;mg_omp_cpp_clang++;mg.cpp:1109-1113;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;1.0800000429153;0.84999585151672;4.5442199707031;1.00;1.00;1.27;1.58;1;66.67;68.06;9.50;9.50;9.50;7.50;6.00
Loop 49;mg_omp_cpp_clang++;mg.cpp:1115-1125;mg3P(double*, double*, double*, double*, double*, int, int, int, int);Innermost;0.73000001907349;0.55987751483917;2.9931988716125;1.00;1.50;4.00;1.00;1;0.00;25.00;7.50;7.50;5.00;1.88;7.50
Loop 118;mg_omp_cpp_clang++;mg.cpp:625-629;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.47999998927116;0.41227340698242;2.2040827274323;1.00;1.47;2.67;1.00;1;40.00;35.00;4.00;4.00;2.72;1.50;4.00
Loop 120;mg_omp_cpp_clang++;mg.cpp:637-641;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.48999997973442;0.39700403809547;2.1224501132965;1.00;1.47;2.67;1.00;1;40.00;35.00;4.00;4.00;2.72;1.50;4.00
Loop 117;mg_omp_cpp_clang++;mg.cpp:620-623;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.44499999284744;0.37664487957954;2.0136065483093;1.00;1.00;1.20;4.00;1;95.45;80.68;6.00;6.00;6.00;5.00;1.50
Loop 119;mg_omp_cpp_clang++;mg.cpp:631-635;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.46499997377396;0.37409999966621;2.0000011920929;1.00;1.47;2.67;1.00;1;40.00;35.00;4.00;4.00;2.72;1.50;4.00
Loop 37;mg_omp_cpp_clang++;mg.cpp:1018-1020,mg.cpp:1029-1030;resid(void*, void*, void*, int, int, int, double*, int);Innermost;0.27500000596046;0.22140610218048;1.1836740970612;1.00;1.17;4.00;1.00;1;0.00;25.00;7.00;7.00;6.00;1.75;7.00
Loop 116;mg_omp_cpp_clang++;mg.cpp:614-617;interp(void*, int, int, int, void*, int, int, int, int);Innermost;0.27000001072884;0.20359183847904;1.0884360074997;1.00;1.00;1.00;1.08;1;100.00;100.00;2.17;2.17;2.17;2.17;2.00
Loop 70;mg_omp_cpp_clang++;mg.cpp:545-547;comm3(void*, int, int, int, int);Innermost;0.20000000298023;0.1908673197031;1.0204086303711;1.13;1.00;4.00;4.50;1;0.00;25.00;9.00;8.00;9.00;2.25;2.00
Loop 27;mg_omp_cpp_clang++;mg.cpp:842-844;norm2u3(void*, int, int, int, double*, double*, int, int, int);Innermost;0.14000001549721;0.13996937870979;0.74829971790314;1.00;1.00;1.00;1.00;1;100.00;100.00;4.00;4.00;4.00;4.00;4.00
Loop 84;mg_omp_cpp_clang++;mg.cpp:917-921;psinv(void*, void*, int, int, int, double*, int);Innermost;0.045000001788139;0.035628568381071;0.19047629833221;1.00;1.12;4.00;1.00;1;0.00;25.00;3.00;3.00;2.67;0.75;3.00
Loop 38;mg_omp_cpp_clang++;mg.cpp:1012-1016;resid(void*, void*, void*, int, int, int, double*, int);Innermost;0.040000002831221;0.03308366984129;0.17687083780766;1.00;1.12;4.00;1.00;1;0.00;25.00;3.00;3.00;2.67;0.75;3.00
