function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
26;mg_mpi_f90_gfortran;resid;;27.001024246216;4.7899985313416;0;0;0;0;0;27.001024246216;4.7899985313416;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";resid_;;;;;;;;;;
65;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;19.475675582886;3.4549970626831;0;0;0;0;0;19.475675582886;3.4549970626831;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_btl_vader_poll_handle_frag;;;;;;;;;;
27;mg_mpi_f90_gfortran;psinv;;11.837601661682;2.0999979972839;0;0;0;0;0;11.837601661682;2.0999979972839;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";psinv_;;;;;;;;;;
0;Unknown module;unknown_function;;9.4982652664185;1.6849982738495;0;0;0;0;0;9.4982652664185;1.6849982738495;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";Unknown function;;;;;;;;;;
21;mg_mpi_f90_gfortran;interp;;9.0191268920898;1.5999987125397;0;0;0;0;0;9.0191268920898;1.5999987125397;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";interp_;;;;;;;;;;
28;mg_mpi_f90_gfortran;rprj3;;5.1014475822449;0.90499997138977;0;0;0;0;0;5.1014475822449;0.90499997138977;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";rprj3_;;;;;;;;;;
1004;libopen-pal.so.40.30.3;mca_mpool_base_tree_node_compare;;4.0867953300476;0.7250000834465;0;0;0;0;0;4.0867953300476;0.7250000834465;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_mpool_base_tree_node_compare;;;;;;;;;;
325;libopen-pal.so.40.30.3;opal_progress;;3.4103600978851;0.60500001907349;0;0;0;0;0;3.4103600978851;0.60500001907349;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_progress;;;;;;;;;;
3611;libc.so.6;__memset_avx2_unaligned_erms;;3.0439577102661;0.54000002145767;0;0;0;0;0;3.0439577102661;0.54000002145767;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx2_unaligned_erms;;;;;;;;;;
-1;kernel;unknown_kernel_region;;1.8883811235428;0.33500000834465;0;0;0;0;0;1.8883811235428;0.33500000834465;0;0;0;0;0;;"0,32.835820895522,0,0,0,65.671641791045,1.4925373134328,0,0,0,0";unknown kernel region;;;;;;;;;;
