ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 125;mg_mpi_f90_gfortran;mg.f90:739-741;resid;Innermost;5.0400018692017;5.0181636810303;25.286819458008;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 124;mg_mpi_f90_gfortran;mg.f90:753-753;resid;Innermost;4.1450009346008;4.1326031684875;20.824430465698;1.00;1.00;1.00;1.00;1;100.00;100.00;14.00;14.00;14.00;14.00;14.00
Loop 129;mg_mpi_f90_gfortran;mg.f90:669-671;psinv;Innermost;2.2499990463257;2.2439134120941;11.307210922241;1.00;1.00;1.00;1.00;1;100.00;100.00;12.00;12.00;12.00;12.00;12.00
Loop 128;mg_mpi_f90_gfortran;mg.f90:678-678;psinv;Innermost;1.4799997806549;1.4534157514572;7.3238472938538;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 133;mg_mpi_f90_gfortran;mg.f90:835-837;rprj3;Innermost;0.98000001907349;0.95810371637344;4.8279409408569;1.00;1.00;1.38;6.00;1;83.33;68.75;18.00;18.00;18.00;13.00;3.00
Loop 132;mg_mpi_f90_gfortran;mg.f90:844-851;rprj3;Innermost;0.52499997615814;0.51532471179962;2.5967514514923;1.00;1.00;1.33;3.75;1;100.00;81.17;30.00;30.00;30.00;22.50;8.00
Loop 84;mg_mpi_f90_gfortran;mg.f90:928-930;interp;Innermost;0.50500005483627;0.50531846284866;2.5463292598724;1.00;1.00;1.14;5.33;1;100.00;82.61;16.00;16.00;16.00;14.00;3.00
Loop 82;mg_mpi_f90_gfortran;mg.f90:940-942;interp;Innermost;0.48999997973442;0.48280420899391;2.4328787326813;1.00;1.00;1.14;5.33;1;100.00;82.61;16.00;16.00;16.00;14.00;3.00
Loop 85;mg_mpi_f90_gfortran;mg.f90:922-924;interp;Innermost;0.43000003695488;0.42526799440384;2.142950296402;1.00;1.00;1.14;5.33;1;100.00;84.78;16.00;16.00;16.00;14.00;3.00
Loop 83;mg_mpi_f90_gfortran;mg.f90:934-936;interp;Innermost;0.4200000166893;0.39524906873703;1.9916832447052;1.00;1.00;1.14;5.33;1;100.00;82.61;16.00;16.00;16.00;14.00;3.00
Loop 86;mg_mpi_f90_gfortran;mg.f90:915-917;interp;Innermost;0.32499998807907;0.31770020723343;1.600909948349;1.00;1.00;1.00;1.13;1;100.00;100.00;9.00;9.00;9.00;9.00;8.00
Loop 2;mg_mpi_f90_gfortran;mg.f90:1078-1081;norm2u3;Innermost;0.20500001311302;0.20262767374516;1.0210527181625;1.00;1.71;4.00;1.71;256;14.29;28.57;13.67;13.67;8.00;3.42;8.00
Loop 163;mg_mpi_f90_gfortran;randi8.f90:59-61;vranlc;Single;0.15500001609325;0.15259616076946;0.76894098520279;1.00;1.24;4.00;1.00;1;0.00;25.00;32.00 - 40.00;32.00 - 40.00;25.86 - 32.33;8.00 - 10.00;32.00 - 40.00
