loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
125;mg_mpi_f90_intel;resid;24;mg.f90:739-741;Innermost;23.24610710144;3.3799977302551;;;;;;23.24610710144;3.3799977302551;;;;;;;;;;;;;;;;
124;mg_mpi_f90_intel;resid;24;mg.f90:753-753;Innermost;17.468963623047;2.5399978160858;;;;;;17.468963623047;2.5399978160858;;;;;;;;;;;;;;;;
129;mg_mpi_f90_intel;psinv;25;mg.f90:669-671;Innermost;9.8692789077759;1.4349991083145;;;;;;9.8692789077759;1.4349991083145;;;;;;;;;;;;;;;;
128;mg_mpi_f90_intel;psinv;25;mg.f90:678-678;Innermost;7.2214283943176;1.0499999523163;;;;;;7.2214283943176;1.0499999523163;;;;;;;;;;;;;;;;
133;mg_mpi_f90_intel;rprj3;26;mg.f90:835-837;Innermost;5.1237754821777;0.74500000476837;;;;;;5.1237754821777;0.74500000476837;;;;;;;;;;;;;;;;
85;mg_mpi_f90_intel;interp;19;mg.f90:922-924;Innermost;2.9917345046997;0.43499997258186;;;;;;2.9917345046997;0.43499997258186;;;;;;;;;;;;;;;;
83;mg_mpi_f90_intel;interp;19;mg.f90:934-936;Innermost;2.6478571891785;0.38500002026558;;;;;;2.6478571891785;0.38500002026558;;;;;;;;;;;;;;;;
84;mg_mpi_f90_intel;interp;19;mg.f90:928-930;Innermost;2.2352039813995;0.32499998807907;;;;;;2.2352039813995;0.32499998807907;;;;;;;;;;;;;;;;
82;mg_mpi_f90_intel;interp;19;mg.f90:940-942;Innermost;2.2352039813995;0.32499998807907;;;;;;2.2352039813995;0.32499998807907;;;;;;;;;;;;;;;;
132;mg_mpi_f90_intel;rprj3;26;mg.f90:844-851;Innermost;2.166428565979;0.31500002741814;;;;;;2.166428565979;0.31500002741814;;;;;;;;;;;;;;;;
86;mg_mpi_f90_intel;interp;19;mg.f90:915-917;Innermost;1.4442856311798;0.20999999344349;;;;;;1.4442856311798;0.20999999344349;;;;;;;;;;;;;;;;
120;mg_mpi_f90_intel;give3;22;mg.f90:1307-1307;Innermost;0.89408159255981;0.12999999523163;;;;;;0.89408159255981;0.12999999523163;;;;;;;;;;;;;;;;
2;mg_mpi_f90_intel;norm2u3;9;mg.f90:1078-1081;Innermost;0.8596938252449;0.12499999254942;;;;;;0.8596938252449;0.12499999254942;;;;;;;;;;;;;;;;
163;mg_mpi_f90_intel;vranlc;39;randi8.f90:59-61;Single;0.61897957324982;0.090000003576279;;;;;;0.61897957324982;0.090000003576279;;;;;;;;;;;;;;;;
118;mg_mpi_f90_intel;give3;22;mg.f90:1291-1291;Innermost;0.51581633090973;0.075000002980232;;;;;;0.51581633090973;0.075000002980232;;;;;;;;;;;;;;;;
146;mg_mpi_f90_intel;zran3;30;mg.f90:2194-2207;Innermost;0.44704079627991;0.064999997615814;;;;;;0.44704079627991;0.064999997615814;;;;;;;;;;;;;;;;
108;mg_mpi_f90_intel;take3;21;mg.f90:1441-1443;Innermost;0.30948978662491;0.045000001788139;;;;;;0.30948978662491;0.045000001788139;;;;;;;;;;;;;;;;
106;mg_mpi_f90_intel;take3;21;mg.f90:1432-1434;Innermost;0.30948978662491;0.045000001788139;;;;;;0.30948978662491;0.045000001788139;;;;;;;;;;;;;;;;
122;mg_mpi_f90_intel;resid;24;mg.f90:735-743,mg.f90:753-753;InBetween;40.921398162842;5.9499959945679;;;;;;0.20632652938366;0.030000001192093;;;;;;;;;;;;;;;;
80;mg_mpi_f90_intel;interp;19;mg.f90:912-917,mg.f90:920-942;InBetween;11.62306022644;1.6899999380112;;;;;;0.06877551227808;0.010000000707805;;;;;;;;;;;;;;;;
126;mg_mpi_f90_intel;psinv;25;mg.f90:665-673,mg.f90:678-678;InBetween;17.159482955933;2.4949991703033;;;;;;0.06877551227808;0.010000000707805;;;;;;;;;;;;;;;;
123;mg_mpi_f90_intel;resid;24;mg.f90:735-737;Outermost;40.955783843994;5.9549956321716;;;;;;0.03438775613904;0.0050000003539026;;;;;;;;;;;;;;;;
130;mg_mpi_f90_intel;rprj3;26;mg.f90:824-824,mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;InBetween;7.3245916366577;1.0649999380112;;;;;;0.03438775613904;0.0050000003539026;;;;;;;;;;;;;;;;
