block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
812;mg_omp_cpp_g++;mg.cpp:1012-1016;30.956884384155;4.8849997520447;;;;;;;;;;;;;;;;
854;mg_omp_cpp_g++;mg.cpp:1018-1019,mg.cpp:1029-1030;21.19769859314;3.3449993133545;;;;;;;;;;;;;;;;
915;mg_omp_cpp_g++;mg.cpp:917-921;13.244601249695;2.0899994373322;;;;;;;;;;;;;;;;
960;mg_omp_cpp_g++;mg.cpp:923-928;9.4106388092041;1.4849998950958;;;;;;;;;;;;;;;;
1008;mg_omp_cpp_g++;mg.cpp:1108-1113;5.7034177780151;0.89999997615814;;;;;;;;;;;;;;;;
1022;mg_omp_cpp_g++;mg.cpp:1115-1125;2.9467658996582;0.46500000357628;;;;;;;;;;;;;;;;
1118;mg_omp_cpp_g++;mg.cpp:625-629;2.8200235366821;0.44500002264977;;;;;;;;;;;;;;;;
1144;mg_omp_cpp_g++;mg.cpp:637-641;2.6615951061249;0.4200000166893;;;;;;;;;;;;;;;;
1411;mg_omp_cpp_g++;mg.cpp:619-623;2.5982239246368;0.41000002622604;;;;;;;;;;;;;;;;
1131;mg_omp_cpp_g++;mg.cpp:631-635;1.7110254764557;0.27000001072884;;;;;;;;;;;;;;;;
1095;mg_omp_cpp_g++;mg.cpp:614-617;1.4575401544571;0.22999998927116;;;;;;;;;;;;;;;;
633;mg_omp_cpp_g++;mg.cpp:545-547;0.72877007722855;0.11499999463558;;;;;;;;;;;;;;;;
232;mg_omp_cpp_g++;mg.cpp:841-844;0.60202747583389;0.095000006258488;;;;;;;;;;;;;;;;
817;mg_omp_cpp_g++;mg.cpp:1012-1016;0.28517088294029;0.044999998062849;;;;;;;;;;;;;;;;
696;mg_omp_cpp_g++;mg.cpp:558-560;0.15842828154564;0.025000000372529;;;;;;;;;;;;;;;;
647;mg_omp_cpp_g++;mg.cpp:550-552;0.12674263119698;0.02000000141561;;;;;;;;;;;;;;;;
1104;mg_omp_cpp_g++;mg.cpp:613-613;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
1150;mg_omp_cpp_g++;mg.cpp:638-641;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
800;mg_omp_cpp_g++;mg.cpp:1011-1012;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
821;mg_omp_cpp_g++;mg.cpp:1011-1011;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
848;mg_omp_cpp_g++;mg.cpp:1019-1019;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
954;mg_omp_cpp_g++;mg.cpp:923-923;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
246;mg_omp_cpp_g++;mg.cpp:841-841;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
1100;mg_omp_cpp_g++;mg.cpp:614-617;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
920;mg_omp_cpp_g++;mg.cpp:917-921;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
1028;mg_omp_cpp_g++;mg.cpp:1116-1125;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
914;mg_omp_cpp_g++;mg.cpp:917-920;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
835;mg_omp_cpp_g++;mg.cpp:1011-1011;0.031685657799244;0.0050000003539026;;;;;;;;;;;;;;;;
